station;termin;nat_abbr;dv1towz0;fk1towz0;fu3towz0;fu3towz1;gre000z0;sre000z0;ta1tows0;tdetows0;uretows0
392;20230101000000;UEB;232;12.6;45.4;69.8;4;0;11.1;5.4;68.0
392;20230101001000;UEB;232;12.8;46.1;64.8;4;0;11.3;5.4;67.1
392;20230101002000;UEB;235;13.2;47.5;64.4;4;0;10.7;5.6;70.8
392;20230101003000;UEB;236;12.5;45.0;61.6;4;0;10.6;5.6;71.1
392;20230101004000;UEB;238;13.0;46.8;61.2;4;0;10.9;5.5;69.3
392;20230101005000;UEB;237;12.4;44.6;65.2;4;0;10.7;5.5;70.4
392;20230101010000;UEB;235;14.0;50.0;61.9;3;0;11.1;5.5;68.4
392;20230101011000;UEB;236;14.9;53.3;69.1;3;0;11.3;5.4;67.2
392;20230101012000;UEB;233;15.0;54.0;71.6;3;0;11.5;5.4;66.1
392;20230101013000;UEB;235;13.9;50.0;62.3;4;0;11.5;5.3;65.5
392;20230101014000;UEB;238;13.0;46.8;63.0;4;0;11.0;5.5;68.9
392;20230101015000;UEB;239;14.2;51.1;60.5;4;0;11.2;5.5;67.7
392;20230101020000;UEB;235;12.4;44.3;58.3;4;0;10.7;5.5;70.1
392;20230101021000;UEB;234;11.9;42.8;49.7;4;0;10.8;5.5;69.8
392;20230101022000;UEB;236;11.6;41.8;50.4;4;0;10.8;5.5;69.7
392;20230101023000;UEB;237;10.6;38.2;43.2;4;0;10.7;5.5;70.1
392;20230101024000;UEB;240;10.8;38.9;45.4;4;0;10.7;5.5;70.0
392;20230101025000;UEB;243;11.4;41.0;48.6;4;0;10.6;5.7;71.5
392;20230101030000;UEB;242;13.2;47.2;62.6;4;0;11.0;5.5;68.9
392;20230101031000;UEB;238;14.1;50.8;63.4;4;0;11.1;5.5;68.5
392;20230101032000;UEB;236;14.3;51.5;62.6;4;0;10.9;5.6;69.6
392;20230101033000;UEB;232;15.3;55.1;65.9;3;0;10.6;5.5;70.9
392;20230101034000;UEB;226;14.3;51.5;61.2;4;0;10.9;5.5;69.2
392;20230101035000;UEB;228;14.9;53.3;71.6;4;0;11.1;5.4;67.9
392;20230101040000;UEB;230;15.2;54.4;69.8;4;0;10.8;5.4;69.3
392;20230101041000;UEB;232;14.7;52.9;68.4;4;0;10.9;5.3;68.4
392;20230101042000;UEB;232;14.4;51.5;67.7;4;0;10.8;5.3;68.7
392;20230101043000;UEB;232;15.5;55.8;70.6;4;0;10.5;5.4;70.8
392;20230101044000;UEB;232;15.3;55.1;75.2;4;0;10.3;5.5;72.1
392;20230101045000;UEB;233;16.7;59.8;74.9;4;0;10.3;5.4;71.6
392;20230101050000;UEB;232;15.9;56.9;72.7;4;0;10.2;5.5;72.6
392;20230101051000;UEB;231;16.8;60.5;72.4;4;0;10.1;5.5;73.0
392;20230101052000;UEB;229;15.4;55.1;73.1;4;0;9.7;5.5;75.3
392;20230101053000;UEB;234;18.1;64.8;80.3;3;0;10.4;5.2;70.3
392;20230101054000;UEB;235;19.0;68.4;81.0;3;0;11.0;5.0;66.4
392;20230101055000;UEB;232;17.1;61.2;82.4;4;0;10.4;5.2;70.0
392;20230101060000;UEB;232;17.3;62.3;79.9;4;0;10.6;5.0;68.3
392;20230101061000;UEB;234;16.7;60.1;74.9;4;0;10.7;4.8;67.0
392;20230101062000;UEB;236;16.2;58.3;75.6;3;0;11.0;4.7;65.1
392;20230101063000;UEB;237;13.7;49.0;73.1;4;0;10.4;4.9;68.9
392;20230101064000;UEB;235;13.6;49.0;59.0;4;0;10.5;4.9;68.2
392;20230101065000;UEB;238;13.6;48.6;64.4;4;0;10.7;4.7;66.2
392;20230101070000;UEB;234;13.8;49.7;64.4;6;0;10.4;4.8;68.2
392;20230101071000;UEB;235;13.2;47.5;63.4;7;0;10.3;4.8;68.6
392;20230101072000;UEB;236;11.6;41.8;48.6;12;0;10.3;4.8;68.5
392;20230101073000;UEB;235;12.6;45.0;53.6;19;0;10.1;4.8;69.7
392;20230101074000;UEB;239;13.5;48.2;56.2;44;9;10.9;4.7;65.5
392;20230101075000;UEB;242;14.9;53.6;66.6;68;10;10.6;4.6;66.5
392;20230101080000;UEB;242;13.3;47.9;69.5;93;10;10.1;4.7;69.3
392;20230101081000;UEB;237;12.2;43.9;58.3;113;10;9.9;4.7;70.1
392;20230101082000;UEB;235;12.3;44.3;56.9;125;10;10.0;4.7;69.5
392;20230101083000;UEB;234;13.6;48.6;60.5;145;10;10.1;4.8;69.5
392;20230101084000;UEB;231;13.6;48.6;59.4;123;4;9.8;4.8;70.8
392;20230101085000;UEB;229;13.2;47.2;59.8;95;0;9.8;4.7;70.6
392;20230101090000;UEB;227;12.0;43.2;51.1;109;0;9.6;4.8;71.9
392;20230101091000;UEB;233;11.1;40.0;49.7;148;6;9.4;4.9;73.3
392;20230101092000;UEB;237;12.9;46.1;59.0;167;10;9.9;4.8;70.5
392;20230101093000;UEB;242;10.9;39.2;50.4;194;10;9.5;4.8;72.7
392;20230101094000;UEB;242;10.8;38.9;50.4;226;10;9.6;4.9;72.3
392;20230101095000;UEB;239;11.6;41.4;51.5;239;10;9.9;4.7;69.9
392;20230101100000;UEB;237;11.9;42.8;49.3;237;10;10.1;4.7;69.2
392;20230101101000;UEB;235;11.6;41.8;46.4;247;10;10.1;4.7;69.3
392;20230101102000;UEB;234;10.9;39.2;46.8;284;10;10.3;4.7;68.1
