station;termin;nat_abbr;rre150d0
536;20230101000000;AIR;5.8
536;20230102000000;AIR;1.4
536;20230103000000;AIR;0.1
536;20230104000000;AIR;0.0
536;20230105000000;AIR;0.0
536;20230106000000;AIR;0.0
536;20230107000000;AIR;0.1
536;20230108000000;AIR;13.5
536;20230109000000;AIR;0.5
536;20230110000000;AIR;0.0
536;20230111000000;AIR;0.0
536;20230112000000;AIR;0.0
536;20230113000000;AIR;0.0
536;20230114000000;AIR;0.0
536;20230115000000;AIR;0.9
536;20230116000000;AIR;0.8
536;20230117000000;AIR;2.5
536;20230118000000;AIR;0.0
536;20230119000000;AIR;0.0
536;20230120000000;AIR;0.0
536;20230121000000;AIR;0.0
536;20230122000000;AIR;0.1
536;20230123000000;AIR;0.0
536;20230124000000;AIR;0.0
536;20230125000000;AIR;0.0
536;20230126000000;AIR;0.0
536;20230127000000;AIR;0.0
536;20230128000000;AIR;0.0
536;20230129000000;AIR;0.0
536;20230130000000;AIR;0.1
536;20230131000000;AIR;0.0
536;20230201000000;AIR;0.0
536;20230202000000;AIR;0.0
536;20230203000000;AIR;0.7
536;20230204000000;AIR;0.0
536;20230205000000;AIR;0.0
536;20230206000000;AIR;1.4
536;20230207000000;AIR;0.0
536;20230208000000;AIR;0.0
536;20230209000000;AIR;0.0
536;20230210000000;AIR;0.0
536;20230211000000;AIR;0.0
536;20230212000000;AIR;0.0
536;20230213000000;AIR;0.0
536;20230214000000;AIR;0.0
536;20230215000000;AIR;0.0
536;20230216000000;AIR;0.0
536;20230217000000;AIR;0.0
536;20230218000000;AIR;0.0
536;20230219000000;AIR;0.0
536;20230220000000;AIR;0.0
536;20230221000000;AIR;0.0
536;20230222000000;AIR;0.0
536;20230223000000;AIR;1.1
536;20230224000000;AIR;2.0
536;20230225000000;AIR;0.0
536;20230226000000;AIR;0.0
536;20230227000000;AIR;0.3
536;20230228000000;AIR;0.0
536;20230301000000;AIR;0.0
536;20230302000000;AIR;0.0
536;20230303000000;AIR;0.0
536;20230304000000;AIR;0.0
536;20230305000000;AIR;0.0
536;20230306000000;AIR;0.0
536;20230307000000;AIR;0.5
536;20230308000000;AIR;11.6
536;20230309000000;AIR;0.1
536;20230310000000;AIR;13.5
536;20230311000000;AIR;4.5
536;20230312000000;AIR;0.0
536;20230313000000;AIR;19.8
536;20230314000000;AIR;0.9
536;20230315000000;AIR;0.0
536;20230316000000;AIR;0.0
536;20230317000000;AIR;0.0
536;20230318000000;AIR;0.0
536;20230319000000;AIR;2.0
536;20230320000000;AIR;0.0
536;20230321000000;AIR;0.0
536;20230322000000;AIR;0.0
536;20230323000000;AIR;0.2
536;20230324000000;AIR;18.1
536;20230325000000;AIR;0.5
536;20230326000000;AIR;6.7
536;20230327000000;AIR;1.7
536;20230328000000;AIR;4.4
536;20230329000000;AIR;3.3
536;20230330000000;AIR;6.7
536;20230331000000;AIR;13.8
536;20230401000000;AIR;0.2
536;20230402000000;AIR;0.0
536;20230403000000;AIR;0.0
536;20230404000000;AIR;0.0
536;20230405000000;AIR;0.0
536;20230406000000;AIR;0.0
536;20230407000000;AIR;0.3
536;20230408000000;AIR;0.0
536;20230409000000;AIR;0.0
536;20230410000000;AIR;0.0
536;20230411000000;AIR;2.9
536;20230412000000;AIR;15.1
536;20230413000000;AIR;0.0
536;20230414000000;AIR;0.0
536;20230415000000;AIR;0.0
536;20230416000000;AIR;0.0
536;20230417000000;AIR;0.0
536;20230418000000;AIR;0.0
536;20230419000000;AIR;0.0
536;20230420000000;AIR;26.8
536;20230421000000;AIR;6.0
536;20230422000000;AIR;1.2
536;20230423000000;AIR;19.7
536;20230424000000;AIR;0.0
536;20230425000000;AIR;0.0
536;20230426000000;AIR;0.0
536;20230427000000;AIR;0.0
536;20230428000000;AIR;5.3
536;20230429000000;AIR;0.2
