station;termin;nat_abbr;rre150m0
536;19010101000000;AIR;23.7
536;19010201000000;AIR;42.1
536;19010301000000;AIR;251.8
536;19010401000000;AIR;244.0
536;19010501000000;AIR;74.9
536;19010601000000;AIR;178.4
536;19010701000000;AIR;197.2
536;19010801000000;AIR;89.0
536;19010901000000;AIR;134.9
536;19011001000000;AIR;268.5
536;19011101000000;AIR;32.1
536;19011201000000;AIR;219.2
536;19020101000000;AIR;69.7
536;19020201000000;AIR;113.6
536;19020301000000;AIR;266.1
536;19020401000000;AIR;65.3
536;19020501000000;AIR;113.1
536;19020601000000;AIR;100.6
536;19020701000000;AIR;104.9
536;19020801000000;AIR;279.0
536;19020901000000;AIR;107.5
536;19021001000000;AIR;196.1
536;19021101000000;AIR;91.7
536;19021201000000;AIR;68.1
536;19030101000000;AIR;65.5
536;19030201000000;AIR;31.3
536;19030301000000;AIR;116.8
536;19030401000000;AIR;171.2
536;19030501000000;AIR;239.2
536;19030601000000;AIR;152.6
536;19030701000000;AIR;255.9
536;19030801000000;AIR;169.7
536;19030901000000;AIR;97.5
536;19031001000000;AIR;224.2
536;19031101000000;AIR;93.0
536;19031201000000;AIR;154.9
536;19040101000000;AIR;31.8
536;19040201000000;AIR;209.8
536;19040301000000;AIR;102.2
536;19040401000000;AIR;112.1
536;19040501000000;AIR;140.1
536;19040601000000;AIR;133.1
536;19040701000000;AIR;64.6
536;19040801000000;AIR;41.2
536;19040901000000;AIR;130.1
536;19041001000000;AIR;30.7
536;19041101000000;AIR;40.7
536;19041201000000;AIR;51.5
536;19050101000000;AIR;28.0
536;19050201000000;AIR;22.6
536;19050301000000;AIR;60.8
536;19050401000000;AIR;180.1
536;19050501000000;AIR;272.2
536;19050601000000;AIR;77.2
536;19050701000000;AIR;54.1
536;19050801000000;AIR;282.1
536;19050901000000;AIR;305.8
536;19051001000000;AIR;23.0
536;19051101000000;AIR;236.0
536;19051201000000;AIR;19.7
536;19060101000000;AIR;48.0
536;19060201000000;AIR;59.8
536;19060301000000;AIR;72.2
