station;termin;nat_abbr;rre150z0
536;20220101000000;AIR;0.0
536;20220101001000;AIR;0.0
536;20220101002000;AIR;0.0
536;20220101003000;AIR;0.0
536;20220101004000;AIR;0.0
536;20220101005000;AIR;0.0
536;20220101010000;AIR;0.0
536;20220101011000;AIR;0.0
536;20220101012000;AIR;0.0
536;20220101013000;AIR;0.0
536;20220101014000;AIR;0.0
536;20220101015000;AIR;0.0
536;20220101020000;AIR;0.0
536;20220101021000;AIR;0.0
536;20220101022000;AIR;0.0
536;20220101023000;AIR;0.0
536;20220101024000;AIR;0.0
536;20220101025000;AIR;0.0
536;20220101030000;AIR;0.0
536;20220101031000;AIR;0.0
536;20220101032000;AIR;0.0
536;20220101033000;AIR;0.0
536;20220101034000;AIR;0.0
536;20220101035000;AIR;0.0
536;20220101040000;AIR;0.0
536;20220101041000;AIR;0.0
536;20220101042000;AIR;0.0
536;20220101043000;AIR;0.0
536;20220101044000;AIR;0.0
536;20220101045000;AIR;0.0
536;20220101050000;AIR;0.0
536;20220101051000;AIR;0.0
536;20220101052000;AIR;0.0
536;20220101053000;AIR;0.0
536;20220101054000;AIR;0.0
536;20220101055000;AIR;0.0
536;20220101060000;AIR;0.0
536;20220101061000;AIR;0.0
536;20220101062000;AIR;0.0
536;20220101063000;AIR;0.0
536;20220101064000;AIR;0.0
536;20220101065000;AIR;0.0
536;20220101070000;AIR;0.0
536;20220101071000;AIR;0.0
536;20220101072000;AIR;0.0
536;20220101073000;AIR;0.0
536;20220101074000;AIR;0.0
536;20220101075000;AIR;0.0
536;20220101080000;AIR;0.0
536;20220101081000;AIR;0.0
536;20220101082000;AIR;0.0
536;20220101083000;AIR;0.0
536;20220101084000;AIR;0.0
536;20220101085000;AIR;0.0
536;20220101090000;AIR;0.0
536;20220101091000;AIR;0.0
536;20220101092000;AIR;0.0
536;20220101093000;AIR;0.0
536;20220101094000;AIR;0.0
536;20220101095000;AIR;0.0
536;20220101100000;AIR;0.0
536;20220101101000;AIR;0.0
536;20220101102000;AIR;0.0
536;20220101103000;AIR;0.0
536;20220101104000;AIR;0.0
536;20220101105000;AIR;0.0
536;20220101110000;AIR;0.0
536;20220101111000;AIR;0.0
536;20220101112000;AIR;0.0
536;20220101113000;AIR;0.0
536;20220101114000;AIR;0.0
536;20220101115000;AIR;0.0
536;20220101120000;AIR;0.0
536;20220101121000;AIR;0.0
536;20220101122000;AIR;0.0
536;20220101123000;AIR;0.0
536;20220101124000;AIR;0.0
536;20220101125000;AIR;0.0
536;20220101130000;AIR;0.0
536;20220101131000;AIR;0.0
536;20220101132000;AIR;0.0
536;20220101133000;AIR;0.0
536;20220101134000;AIR;0.0
536;20220101135000;AIR;0.0
536;20220101140000;AIR;0.0
536;20220101141000;AIR;0.0
536;20220101142000;AIR;0.0
536;20220101143000;AIR;0.0
536;20220101144000;AIR;0.0
536;20220101145000;AIR;0.0
536;20220101150000;AIR;0.0
536;20220101151000;AIR;0.0
536;20220101152000;AIR;0.0
536;20220101153000;AIR;0.0
536;20220101154000;AIR;0.0
536;20220101155000;AIR;0.0
536;20220101160000;AIR;0.0
536;20220101161000;AIR;0.0
536;20220101162000;AIR;0.0
536;20220101163000;AIR;0.0
536;20220101164000;AIR;0.0
536;20220101165000;AIR;0.0
536;20220101170000;AIR;0.0
536;20220101171000;AIR;0.0
536;20220101172000;AIR;0.0
536;20220101173000;AIR;0.0
536;20220101174000;AIR;0.0
536;20220101175000;AIR;0.0
536;20220101180000;AIR;0.0
536;20220101181000;AIR;0.0
536;20220101182000;AIR;0.0
536;20220101183000;AIR;0.0
536;20220101184000;AIR;0.0
536;20220101185000;AIR;0.0
536;20220101190000;AIR;0.0
536;20220101191000;AIR;0.0
536;20220101192000;AIR;0.0
536;20220101193000;AIR;0.0
536;20220101194000;AIR;0.0
536;20220101195000;AIR;0.0
536;20220101200000;AIR;0.0
536;20220101201000;AIR;0.0
536;20220101202000;AIR;0.0
536;20220101203000;AIR;0.0
536;20220101204000;AIR;0.0
536;20220101205000;AIR;0.0
536;20220101210000;AIR;0.0
536;20220101211000;AIR;0.0
536;20220101212000;AIR;0.0
536;20220101213000;AIR;0.0
536;20220101214000;AIR;0.0
536;20220101215000;AIR;0.0
536;20220101220000;AIR;0.0
536;20220101221000;AIR;0.0
536;20220101222000;AIR;0.0
536;20220101223000;AIR;0.0
536;20220101224000;AIR;0.0
536;20220101225000;AIR;0.0
536;20220101230000;AIR;0.0
536;20220101231000;AIR;0.0
536;20220101232000;AIR;0.0
536;20220101233000;AIR;0.0
536;20220101234000;AIR;0.0
536;20220101235000;AIR;0.0
536;20220102000000;AIR;0.0
536;20220102001000;AIR;0.0
536;20220102002000;AIR;0.0
536;20220102003000;AIR;0.0
536;20220102004000;AIR;0.0
536;20220102005000;AIR;0.0
536;20220102010000;AIR;0.0
536;20220102011000;AIR;0.0
536;20220102012000;AIR;0.0
536;20220102013000;AIR;0.0
536;20220102014000;AIR;0.0
536;20220102015000;AIR;0.0
536;20220102020000;AIR;0.0
536;20220102021000;AIR;0.0
536;20220102022000;AIR;0.0
536;20220102023000;AIR;0.0
536;20220102024000;AIR;0.0
536;20220102025000;AIR;0.0
536;20220102030000;AIR;0.0
536;20220102031000;AIR;0.0
536;20220102032000;AIR;0.0
536;20220102033000;AIR;0.0
536;20220102034000;AIR;0.0
536;20220102035000;AIR;0.0
536;20220102040000;AIR;0.0
536;20220102041000;AIR;0.0
536;20220102042000;AIR;0.0
536;20220102043000;AIR;0.0
536;20220102044000;AIR;0.0
536;20220102045000;AIR;0.0
536;20220102050000;AIR;0.0
536;20220102051000;AIR;0.0
536;20220102052000;AIR;0.0
536;20220102053000;AIR;0.0
536;20220102054000;AIR;0.0
536;20220102055000;AIR;0.0
536;20220102060000;AIR;0.0
536;20220102061000;AIR;0.0
536;20220102062000;AIR;0.0
536;20220102063000;AIR;0.0
536;20220102064000;AIR;0.0
536;20220102065000;AIR;0.0
536;20220102070000;AIR;0.0
536;20220102071000;AIR;0.0
536;20220102072000;AIR;0.0
536;20220102073000;AIR;0.0
536;20220102074000;AIR;0.0
536;20220102075000;AIR;0.0
536;20220102080000;AIR;0.0
536;20220102081000;AIR;0.0
536;20220102082000;AIR;0.0
536;20220102083000;AIR;0.0
536;20220102084000;AIR;0.0
536;20220102085000;AIR;0.0
536;20220102090000;AIR;0.0
536;20220102091000;AIR;0.0
536;20220102092000;AIR;0.0
536;20220102093000;AIR;0.0
536;20220102094000;AIR;0.0
536;20220102095000;AIR;0.0
536;20220102100000;AIR;0.0
536;20220102101000;AIR;0.0
536;20220102102000;AIR;0.0
536;20220102103000;AIR;0.0
536;20220102104000;AIR;0.0
536;20220102105000;AIR;0.0
536;20220102110000;AIR;0.0
536;20220102111000;AIR;0.0
536;20220102112000;AIR;0.0
536;20220102113000;AIR;0.0
536;20220102114000;AIR;0.0
536;20220102115000;AIR;0.0
536;20220102120000;AIR;0.0
536;20220102121000;AIR;0.0
536;20220102122000;AIR;0.0
536;20220102123000;AIR;0.0
536;20220102124000;AIR;0.0
536;20220102125000;AIR;0.0
536;20220102130000;AIR;0.0
536;20220102131000;AIR;0.0
536;20220102132000;AIR;0.0
536;20220102133000;AIR;0.0
536;20220102134000;AIR;0.0
536;20220102135000;AIR;0.0
536;20220102140000;AIR;0.0
536;20220102141000;AIR;0.0
536;20220102142000;AIR;0.0
536;20220102143000;AIR;0.0
536;20220102144000;AIR;0.0
536;20220102145000;AIR;0.0
536;20220102150000;AIR;0.0
536;20220102151000;AIR;0.0
536;20220102152000;AIR;0.0
536;20220102153000;AIR;0.0
536;20220102154000;AIR;0.0
536;20220102155000;AIR;0.0
536;20220102160000;AIR;0.0
536;20220102161000;AIR;0.0
536;20220102162000;AIR;0.0
536;20220102163000;AIR;0.0
536;20220102164000;AIR;0.0
536;20220102165000;AIR;0.0
536;20220102170000;AIR;0.0
536;20220102171000;AIR;0.0
536;20220102172000;AIR;0.0
536;20220102173000;AIR;0.0
536;20220102174000;AIR;0.0
536;20220102175000;AIR;0.0
536;20220102180000;AIR;0.0
536;20220102181000;AIR;0.0
536;20220102182000;AIR;0.0
536;20220102183000;AIR;0.0
536;20220102184000;AIR;0.0
536;20220102185000;AIR;0.0
536;20220102190000;AIR;0.0
536;20220102191000;AIR;0.0
536;20220102192000;AIR;0.0
536;20220102193000;AIR;0.0
536;20220102194000;AIR;0.0
536;20220102195000;AIR;0.0
536;20220102200000;AIR;0.0
536;20220102201000;AIR;0.0
536;20220102202000;AIR;0.0
536;20220102203000;AIR;0.0
536;20220102204000;AIR;0.0
536;20220102205000;AIR;0.0
536;20220102210000;AIR;0.0
536;20220102211000;AIR;0.0
536;20220102212000;AIR;0.0
536;20220102213000;AIR;0.0
536;20220102214000;AIR;0.0
536;20220102215000;AIR;0.0
536;20220102220000;AIR;0.0
536;20220102221000;AIR;0.0
536;20220102222000;AIR;0.0
536;20220102223000;AIR;0.0
536;20220102224000;AIR;0.0
536;20220102225000;AIR;0.0
536;20220102230000;AIR;0.0
536;20220102231000;AIR;0.0
536;20220102232000;AIR;0.0
536;20220102233000;AIR;0.0
536;20220102234000;AIR;0.0
536;20220102235000;AIR;0.0
536;20220103000000;AIR;0.0
536;20220103001000;AIR;0.0
536;20220103002000;AIR;0.0
536;20220103003000;AIR;0.0
536;20220103004000;AIR;0.0
536;20220103005000;AIR;0.0
536;20220103010000;AIR;0.0
536;20220103011000;AIR;0.0
536;20220103012000;AIR;0.0
536;20220103013000;AIR;0.0
536;20220103014000;AIR;0.0
536;20220103015000;AIR;0.0
536;20220103020000;AIR;0.0
536;20220103021000;AIR;0.0
536;20220103022000;AIR;0.0
536;20220103023000;AIR;0.0
536;20220103024000;AIR;0.0
536;20220103025000;AIR;0.0
536;20220103030000;AIR;0.0
536;20220103031000;AIR;0.0
536;20220103032000;AIR;0.0
536;20220103033000;AIR;0.0
536;20220103034000;AIR;0.0
536;20220103035000;AIR;0.0
536;20220103040000;AIR;0.0
536;20220103041000;AIR;0.0
536;20220103042000;AIR;0.0
536;20220103043000;AIR;0.0
536;20220103044000;AIR;0.0
536;20220103045000;AIR;0.0
536;20220103050000;AIR;0.0
536;20220103051000;AIR;0.0
536;20220103052000;AIR;0.0
536;20220103053000;AIR;0.0
536;20220103054000;AIR;0.0
536;20220103055000;AIR;0.0
536;20220103060000;AIR;0.0
536;20220103061000;AIR;0.0
536;20220103062000;AIR;0.0
536;20220103063000;AIR;0.0
536;20220103064000;AIR;0.0
536;20220103065000;AIR;0.0
536;20220103070000;AIR;0.0
536;20220103071000;AIR;0.0
536;20220103072000;AIR;0.0
536;20220103073000;AIR;0.0
536;20220103074000;AIR;0.0
536;20220103075000;AIR;0.0
536;20220103080000;AIR;0.0
536;20220103081000;AIR;0.0
536;20220103082000;AIR;0.0
536;20220103083000;AIR;0.0
536;20220103084000;AIR;0.0
536;20220103085000;AIR;0.0
536;20220103090000;AIR;0.0
536;20220103091000;AIR;0.0
536;20220103092000;AIR;0.0
536;20220103093000;AIR;0.0
536;20220103094000;AIR;0.0
536;20220103095000;AIR;0.0
536;20220103100000;AIR;0.0
536;20220103101000;AIR;0.0
536;20220103102000;AIR;0.0
536;20220103103000;AIR;0.0
536;20220103104000;AIR;0.0
536;20220103105000;AIR;0.0
536;20220103110000;AIR;0.0
536;20220103111000;AIR;0.0
536;20220103112000;AIR;0.0
536;20220103113000;AIR;0.0
536;20220103114000;AIR;0.0
536;20220103115000;AIR;0.0
536;20220103120000;AIR;0.0
536;20220103121000;AIR;0.0
536;20220103122000;AIR;0.0
536;20220103123000;AIR;0.0
536;20220103124000;AIR;0.0
536;20220103125000;AIR;0.0
536;20220103130000;AIR;0.0
536;20220103131000;AIR;0.0
536;20220103132000;AIR;0.0
536;20220103133000;AIR;0.0
536;20220103134000;AIR;0.0
536;20220103135000;AIR;0.0
536;20220103140000;AIR;0.0
536;20220103141000;AIR;0.0
536;20220103142000;AIR;0.0
536;20220103143000;AIR;0.0
536;20220103144000;AIR;0.0
536;20220103145000;AIR;0.0
536;20220103150000;AIR;0.0
536;20220103151000;AIR;0.0
536;20220103152000;AIR;0.0
536;20220103153000;AIR;0.0
536;20220103154000;AIR;0.0
536;20220103155000;AIR;0.0
536;20220103160000;AIR;0.0
536;20220103161000;AIR;0.0
536;20220103162000;AIR;0.0
536;20220103163000;AIR;0.0
536;20220103164000;AIR;0.0
536;20220103165000;AIR;0.0
536;20220103170000;AIR;0.0
536;20220103171000;AIR;0.0
536;20220103172000;AIR;0.0
536;20220103173000;AIR;0.0
536;20220103174000;AIR;0.0
536;20220103175000;AIR;0.0
536;20220103180000;AIR;0.0
536;20220103181000;AIR;0.0
536;20220103182000;AIR;0.0
536;20220103183000;AIR;0.0
536;20220103184000;AIR;0.0
536;20220103185000;AIR;0.0
536;20220103190000;AIR;0.0
536;20220103191000;AIR;0.0
536;20220103192000;AIR;0.0
536;20220103193000;AIR;0.0
536;20220103194000;AIR;0.0
536;20220103195000;AIR;0.0
536;20220103200000;AIR;0.0
536;20220103201000;AIR;0.0
536;20220103202000;AIR;0.0
536;20220103203000;AIR;0.0
536;20220103204000;AIR;0.0
536;20220103205000;AIR;0.0
536;20220103210000;AIR;0.0
536;20220103211000;AIR;0.0
536;20220103212000;AIR;0.0
536;20220103213000;AIR;0.0
536;20220103214000;AIR;0.0
536;20220103215000;AIR;0.0
536;20220103220000;AIR;0.0
536;20220103221000;AIR;0.0
536;20220103222000;AIR;0.0
536;20220103223000;AIR;0.0
536;20220103224000;AIR;0.0
536;20220103225000;AIR;0.0
536;20220103230000;AIR;0.0
536;20220103231000;AIR;0.0
536;20220103232000;AIR;0.0
536;20220103233000;AIR;0.0
536;20220103234000;AIR;0.0
536;20220103235000;AIR;0.0
536;20220104000000;AIR;0.0
536;20220104001000;AIR;0.0
536;20220104002000;AIR;0.0
