station;termin;nat_abbr;dk1towh0;fu3towh0;fu3towh1;gre000h0;sre000h0;ta1towh0;ta1towhn;ta1towhx;tdetowh0;uretowh0
392;20230705170000;UEB;226;24.1;38.2;392;34;15.0;14.7;15.3;11.1;77.5
392;20230705180000;UEB;226;20.5;33.1;243;31;15.0;14.9;15.1;10.7;75.4
392;20230705190000;UEB;223;22.0;27.4;33;0;14.9;14.9;15.0;10.7;75.5
392;20230705200000;UEB;238;15.8;26.3;5;0;14.7;14.5;14.8;10.5;76.4
392;20230705210000;UEB;295;19.1;24.1;4;0;14.7;14.6;14.8;4.7;51.2
392;20230705220000;UEB;284;16.9;22.7;4;0;14.6;14.5;14.8;3.7;48.0
392;20230705230000;UEB;297;16.6;19.8;4;0;14.4;14.3;14.5;4.0;49.7
392;20230706000000;UEB;291;10.8;17.3;4;0;14.4;14.3;14.5;3.6;48.1
392;20230706010000;UEB;279;7.6;10.8;4;0;14.3;14.2;14.3;3.5;48.4
392;20230706020000;UEB;257;6.8;12.6;4;0;14.2;14.1;14.3;3.7;49.3
392;20230706030000;UEB;212;14.8;22.3;4;0;13.4;12.9;13.9;5.6;59.8
392;20230706040000;UEB;193;8.3;18.0;7;0;13.6;13.5;13.7;4.6;54.8
392;20230706050000;UEB;150;5.8;10.8;44;3;13.6;13.5;13.7;4.6;54.2
392;20230706060000;UEB;117;5.8;9.7;136;4;13.6;13.4;13.7;4.8;55.2
392;20230706070000;UEB;114;6.1;9.4;301;35;13.7;13.4;13.9;4.9;55.5
392;20230706080000;UEB;94;6.1;15.1;573;60;13.8;13.6;14.0;8.1;69.0
392;20230706090000;UEB;87;6.8;16.6;743;59;14.3;13.7;14.6;9.0;70.0
392;20230706100000;UEB;60;10.4;21.6;643;33;14.9;14.5;15.2;8.4;64.9
392;20230706110000;UEB;62;7.2;22.7;756;38;15.9;15.6;16.3;8.1;59.9
392;20230706120000;UEB;32;7.6;20.2;649;29;16.6;16.1;17.2;7.8;56.1
392;20230706130000;UEB;63;5.8;19.1;710;37;17.1;16.8;17.4;7.6;53.6
392;20230706140000;UEB;264;5.4;14.8;739;47;18.1;17.6;18.5;8.1;52.1
392;20230706150000;UEB;257;5.0;12.6;715;57;18.6;18.0;19.2;7.8;49.7
392;20230706160000;UEB;304;5.8;15.1;584;59;19.1;18.7;19.4;7.4;46.5
