station;termin;nat_abbr;dk1towh0;fu3towh0;fu3towh1;gre000h0;sre000h0;ta1towh0;ta1towhn;ta1towhx;tdetowh0;uretowh0
392;20230101000000;UEB;232;50.4;72.7;4;0;11.7;11.1;12.0;5.3;65.0
392;20230101010000;UEB;235;46.8;65.2;4;0;10.9;10.6;11.3;5.5;69.5
392;20230101020000;UEB;236;50.0;71.6;4;0;11.2;10.7;11.5;5.4;67.6
392;20230101030000;UEB;239;41.8;62.6;4;0;10.8;10.6;11.0;5.5;70.0
392;20230101040000;UEB;232;52.9;71.6;4;0;10.9;10.6;11.1;5.5;69.2
392;20230101050000;UEB;232;55.4;75.2;4;0;10.5;10.2;10.9;5.4;70.7
392;20230101060000;UEB;232;62.3;82.4;4;0;10.4;9.7;11.0;5.2;70.6
392;20230101070000;UEB;236;52.6;75.6;4;0;10.6;10.4;11.0;4.8;67.3
392;20230101080000;UEB;238;47.5;69.5;41;29;10.4;10.1;10.9;4.7;68.0
392;20230101090000;UEB;232;46.1;60.5;118;34;9.9;9.6;10.1;4.8;70.4
392;20230101100000;UEB;238;41.4;59.0;202;56;9.7;9.4;10.1;4.8;71.3
392;20230101110000;UEB;231;35.6;47.2;291;60;10.2;10.0;10.4;4.7;68.8
392;20230101120000;UEB;233;30.2;46.1;341;60;10.9;10.3;11.2;4.5;64.7
392;20230101130000;UEB;243;14.0;26.6;324;60;10.9;10.8;11.1;4.6;65.0
392;20230101140000;UEB;222;5.4;14.4;254;60;11.4;10.9;11.9;4.7;63.2
392;20230101150000;UEB;166;5.4;18.4;136;53;11.8;11.6;12.2;4.0;58.7
392;20230101160000;UEB;171;14.8;25.2;30;0;12.4;12.1;12.7;2.2;49.6
392;20230101170000;UEB;178;13.7;30.2;4;0;12.5;11.3;13.1;1.6;47.6
392;20230101180000;UEB;186;16.6;22.0;4;0;12.2;11.6;12.6;1.9;49.5
392;20230101190000;UEB;220;18.4;26.6;4;0;11.4;11.2;11.6;3.2;56.9
392;20230101200000;UEB;230;20.9;27.4;4;0;11.4;11.2;11.6;2.7;55.0
392;20230101210000;UEB;223;24.5;31.7;4;0;11.3;10.7;11.6;2.7;55.3
392;20230101220000;UEB;228;21.2;31.0;4;0;11.2;10.9;11.4;2.8;56.3
392;20230101230000;UEB;189;9.7;19.1;4;0;11.1;10.8;11.4;2.5;55.4
392;20230102000000;UEB;233;5.0;14.4;4;0;10.7;10.5;10.9;3.0;58.8
392;20230102010000;UEB;242;18.0;29.5;4;0;10.8;10.7;11.1;2.3;55.5
392;20230102020000;UEB;233;27.0;37.4;4;0;11.4;11.0;11.6;1.4;50.3
392;20230102030000;UEB;239;36.4;45.0;4;0;11.3;10.5;11.8;0.7;48.3
392;20230102040000;UEB;236;32.0;43.9;4;0;11.5;11.0;11.7;0.4;46.5
392;20230102050000;UEB;235;30.2;36.7;4;0;11.5;11.3;11.7;-0.1;44.8
392;20230102060000;UEB;236;30.6;39.2;4;0;11.5;10.5;11.9;-0.3;44.2
392;20230102070000;UEB;236;33.1;43.6;4;0;11.5;11.1;11.7;-0.7;43.0
392;20230102080000;UEB;235;34.2;43.9;30;22;11.3;10.3;11.8;-1.0;42.6
392;20230102090000;UEB;237;37.8;47.5;66;0;11.2;10.7;11.9;-1.0;42.6
392;20230102100000;UEB;239;38.9;48.2;138;0;10.1;9.6;10.4;-0.8;46.5
392;20230102110000;UEB;251;43.6;56.2;180;0;9.9;9.4;10.1;-0.9;47.0
392;20230102120000;UEB;252;50.0;65.5;148;1;10.1;9.8;10.7;-0.9;46.3
392;20230102130000;UEB;241;43.9;62.3;248;47;10.1;9.9;10.2;0.0;49.5
392;20230102140000;UEB;229;41.4;62.3;123;17;10.3;10.2;10.5;0.5;50.6
392;20230102150000;UEB;233;35.6;46.4;55;0;10.0;9.8;10.1;1.4;55.1
392;20230102160000;UEB;238;41.4;58.3;9;0;9.9;9.7;10.0;1.8;57.1
392;20230102170000;UEB;235;45.4;57.6;4;0;9.2;8.9;9.5;2.4;62.4
392;20230102180000;UEB;244;40.7;53.3;4;0;8.2;7.8;8.7;3.3;71.0
392;20230102190000;UEB;246;36.7;49.0;4;0;7.5;7.4;7.7;3.6;76.2
392;20230102200000;UEB;256;30.6;47.9;4;0;7.0;6.6;7.5;4.1;82.1
392;20230102210000;UEB;254;30.2;46.4;4;0;6.1;5.8;6.5;5.4;95.8
392;20230102220000;UEB;260;21.2;31.0;3;0;5.8;5.7;5.8;5.6;99.3
392;20230102230000;UEB;252;13.3;19.4;3;0;5.8;5.7;6.2;5.2;96.0
392;20230103000000;UEB;242;11.5;16.9;3;0;5.6;5.5;5.8;5.6;99.4
392;20230103010000;UEB;248;7.9;15.1;3;0;5.3;5.1;5.7;4.0;91.0
392;20230103020000;UEB;204;9.0;14.8;3;0;5.2;5.0;5.2;4.5;95.3
392;20230103030000;UEB;236;13.0;15.5;3;0;5.3;5.2;5.3;4.8;96.9
392;20230103040000;UEB;256;10.8;14.0;3;0;5.0;4.9;5.2;4.6;97.1
392;20230103050000;UEB;264;6.8;12.2;3;0;5.2;5.1;5.3;1.1;75.3
392;20230103060000;UEB;249;7.2;11.2;3;0;4.8;4.6;5.0;2.8;87.5
392;20230103070000;UEB;242;7.9;11.2;3;0;4.7;4.5;4.7;3.1;89.6
392;20230103080000;UEB;243;4.0;7.6;6;0;4.4;4.2;4.5;3.6;94.9
392;20230103090000;UEB;300;2.9;7.6;32;0;4.1;4.0;4.2;3.8;97.8
392;20230103100000;UEB;294;5.0;7.2;53;0;4.1;3.9;4.3;3.3;94.3
392;20230103110000;UEB;283;3.6;6.8;73;0;4.0;3.4;4.4;3.1;94.2
392;20230103120000;UEB;289;7.6;11.2;87;0;3.7;3.1;4.1;2.8;93.4
392;20230103130000;UEB;280;10.8;14.8;82;0;3.7;3.6;3.8;2.8;93.9
392;20230103140000;UEB;287;9.0;15.5;65;0;3.8;3.6;3.9;2.4;90.2
392;20230103150000;UEB;307;11.2;14.0;20;0;3.8;3.7;4.0;1.4;84.1
392;20230103160000;UEB;276;6.8;10.4;10;0;4.2;4.1;4.4;1.1;80.0
392;20230103170000;UEB;256;6.1;11.2;3;0;4.2;4.2;4.3;1.0;79.5
392;20230103180000;UEB;240;5.8;8.3;4;0;4.3;4.0;4.5;1.3;80.8
392;20230103190000;UEB;230;6.1;14.4;4;0;4.5;4.3;4.7;2.5;87.1
392;20230103200000;UEB;220;5.8;14.8;4;0;4.2;4.0;4.5;1.4;82.5
392;20230103210000;UEB;217;5.8;9.0;4;0;4.1;4.0;4.2;1.7;84.0
392;20230103220000;UEB;223;8.3;16.6;4;0;4.4;4.1;4.6;2.0;84.5
392;20230103230000;UEB;230;19.1;22.7;4;0;4.5;4.3;4.6;2.2;85.1
392;20230104000000;UEB;225;21.6;28.8;4;0;4.0;3.7;4.2;3.0;93.1
392;20230104010000;UEB;232;24.1;32.0;4;0;3.6;3.3;3.9;3.1;96.4
392;20230104020000;UEB;235;29.2;44.6;4;0;3.4;3.3;3.6;2.8;96.1
392;20230104030000;UEB;230;40.3;48.6;4;0;3.4;3.3;3.5;2.0;90.5
392;20230104040000;UEB;226;43.9;52.9;4;0;3.8;3.7;3.9;1.6;85.5
392;20230104050000;UEB;223;38.5;42.8;4;0;3.5;3.2;3.8;2.0;90.1
392;20230104060000;UEB;224;33.1;40.3;4;0;2.9;2.6;3.2;2.2;94.8
392;20230104070000;UEB;225;38.9;47.2;4;0;3.1;2.8;3.7;2.0;92.7
392;20230104080000;UEB;229;37.8;49.3;32;5;3.1;2.5;3.6;2.1;93.0
392;20230104090000;UEB;236;38.5;47.5;108;0;3.1;2.9;3.4;2.4;94.7
392;20230104100000;UEB;237;39.2;53.3;97;0;3.2;3.0;3.3;2.5;95.2
392;20230104110000;UEB;232;38.9;52.9;88;0;3.3;3.2;3.3;2.8;96.9
392;20230104120000;UEB;231;45.0;57.6;128;0;3.7;3.4;3.9;2.7;93.6
392;20230104130000;UEB;232;45.0;56.9;74;0;4.3;4.0;4.5;2.0;85.0
