station;termin;nat_abbr;dv1towz0;fk1towz0;fu3towz0;fu3towz1;gre000z0;sre000z0;ta1tows0;tdetows0;uretows0
392;20230705163000;UEB;225;5.5;19.4;33.1;538;10;15.0;11.2;78.1
392;20230705164000;UEB;226;5.6;19.8;30.6;442;5;15.3;11.5;78.1
392;20230705165000;UEB;224;5.9;20.9;28.4;455;8;15.1;11.0;76.7
392;20230705170000;UEB;228;5.5;19.4;28.4;397;8;15.2;11.1;76.6
392;20230705171000;UEB;231;6.7;23.8;33.1;305;6;15.1;10.9;76.0
392;20230705172000;UEB;220;5.9;20.9;29.9;342;10;15.1;10.6;74.6
392;20230705173000;UEB;233;6.4;23.0;31.0;263;7;15.0;10.5;74.6
392;20230705174000;UEB;221;5.3;19.1;27.4;205;4;14.9;10.6;75.3
392;20230705175000;UEB;225;4.5;16.2;24.8;196;4;15.0;10.8;76.0
392;20230705180000;UEB;223;5.5;19.8;24.8;145;0;14.9;10.6;75.6
392;20230705181000;UEB;222;6.0;21.6;25.9;62;0;14.9;10.7;76.0
392;20230705182000;UEB;222;6.2;22.0;27.0;46;0;14.9;10.7;75.8
392;20230705183000;UEB;222;6.2;22.3;27.4;28;0;14.9;10.7;75.7
392;20230705184000;UEB;225;6.3;22.7;27.4;29;0;15.0;10.6;74.8
392;20230705185000;UEB;225;6.2;22.3;26.6;17;0;15.0;10.6;75.2
392;20230705190000;UEB;222;5.8;20.9;24.1;13;0;14.9;10.6;75.3
392;20230705191000;UEB;219;6.1;22.0;26.3;9;0;14.8;10.5;75.6
392;20230705192000;UEB;221;6.3;22.7;25.6;5;0;14.7;10.6;76.4
392;20230705193000;UEB;235;5.1;18.4;22.7;4;0;14.6;10.6;76.9
392;20230705194000;UEB;268;3.2;11.2;19.8;4;0;14.7;10.9;78.1
392;20230705195000;UEB;245;3.2;11.2;16.2;4;0;14.6;10.6;77.0
392;20230705200000;UEB;299;2.6;9.0;16.6;4;0;14.5;10.0;74.6
392;20230705201000;UEB;298;3.6;13.0;19.4;4;0;14.8;5.6;54.1
392;20230705202000;UEB;298;5.0;18.0;19.8;4;0;14.8;5.5;53.7
392;20230705203000;UEB;293;5.5;19.4;21.2;4;0;14.7;5.0;52.3
392;20230705204000;UEB;293;5.7;20.5;22.3;4;0;14.7;4.5;50.2
392;20230705205000;UEB;294;5.9;21.2;23.0;4;0;14.6;3.9;48.7
392;20230705210000;UEB;291;6.1;22.0;24.1;4;0;14.6;3.8;48.1
392;20230705211000;UEB;287;5.9;20.9;22.7;4;0;14.5;4.0;49.4
392;20230705212000;UEB;281;5.1;18.4;20.9;4;0;14.6;4.7;51.4
392;20230705213000;UEB;282;4.6;16.6;18.4;4;0;14.6;4.1;49.2
392;20230705214000;UEB;283;3.9;14.0;16.6;4;0;14.7;3.6;47.2
392;20230705215000;UEB;283;4.2;15.1;18.0;4;0;14.8;2.7;44.1
392;20230705220000;UEB;288;4.3;15.5;18.7;4;0;14.6;3.2;46.4
392;20230705221000;UEB;293;4.8;17.3;19.8;4;0;14.5;3.8;48.6
392;20230705222000;UEB;297;4.7;16.9;18.4;4;0;14.5;3.9;49.0
392;20230705223000;UEB;301;4.3;15.5;17.6;4;0;14.4;3.9;49.4
392;20230705224000;UEB;300;4.3;15.5;16.9;4;0;14.3;4.1;50.1
392;20230705225000;UEB;296;4.7;16.9;17.6;4;0;14.4;4.2;50.4
392;20230705230000;UEB;296;4.6;16.6;17.3;4;0;14.3;4.3;50.8
392;20230705231000;UEB;291;4.0;14.4;17.3;4;0;14.3;4.0;50.0
392;20230705232000;UEB;289;3.0;10.8;14.0;4;0;14.4;3.5;47.9
392;20230705233000;UEB;294;3.3;11.9;13.0;4;0;14.4;3.5;47.7
392;20230705234000;UEB;293;3.0;10.8;11.9;4;0;14.4;3.4;47.6
392;20230705235000;UEB;286;2.5;9.0;10.8;4;0;14.5;3.5;47.4
392;20230706000000;UEB;289;2.4;8.6;11.5;4;0;14.4;3.5;47.8
392;20230706001000;UEB;287;1.9;6.8;9.7;4;0;14.3;3.4;47.9
392;20230706002000;UEB;303;1.8;6.1;8.6;4;0;14.2;3.5;48.5
392;20230706003000;UEB;280;1.9;6.5;9.0;4;0;14.2;3.4;48.3
392;20230706004000;UEB;268;2.2;7.9;9.0;4;0;14.2;3.5;48.4
392;20230706005000;UEB;268;2.5;9.0;10.8;4;0;14.3;3.5;48.3
392;20230706010000;UEB;277;2.4;8.6;10.1;4;0;14.3;3.7;48.8
392;20230706011000;UEB;253;1.9;6.5;9.0;4;0;14.3;3.7;48.9
392;20230706012000;UEB;252;1.8;6.5;7.9;4;0;14.2;3.9;49.8
392;20230706013000;UEB;245;1.3;4.7;6.5;4;0;14.2;3.7;49.3
392;20230706014000;UEB;249;1.6;5.8;6.8;4;0;14.1;3.6;49.3
392;20230706015000;UEB;266;2.0;6.8;10.1;4;0;14.1;3.5;48.9
392;20230706020000;UEB;262;2.5;9.0;12.6;4;0;14.1;3.7;49.4
392;20230706021000;UEB;250;3.1;11.2;12.6;4;0;13.9;3.9;50.7
