station;termin;nat_abbr;gre000y0;sre000y0;ta1towy0;ta1towyn;ta1towyx
392;20120101000000;UEB;;;7.6;-18.5;28.6
392;20130101000000;UEB;139;91594;6.9;-10.5;29.4
392;20140101000000;UEB;148;100364;;;
392;20150101000000;UEB;159;121566;9.3;-8.8;30.4
392;20160101000000;UEB;145;102710;;;
392;20170101000000;UEB;156;110218;8.3;-11.6;26.9
392;20180101000000;UEB;158;114778;8.9;-15.3;29.0
392;20190101000000;UEB;157;114306;8.6;;
392;20200101000000;UEB;158;130036;9.0;-7.1;28.4
392;20210101000000;UEB;145;104396;;;
392;20220101000000;UEB;162;127677;9.5;-9.0;29.4
