station;termin;nat_abbr;dkl010h0;fkl010h0;fkl010h1;fu3010h0;fu3010h1;fve010h0;gre000h0;oli000h0;pp0qffh0;pp0qnhh0;ppz700h0;ppz850h0;prestah0;pva200h0;rre150h0;sre000h0;tde200h0;tre005h0;tre005hn;tre200h0;tre200hn;tre200hx;ure200h0;wcc006h0
75;20230101000000;BAS;97;2.4;5.4;8.6;19.4;;0;301;1022.6;1022.1;;;984.3;10.4;0.0;0;7.6;6.6;5.8;9.2;8.9;9.4;89.7;
75;20230101010000;BAS;100;3.0;6.3;10.8;22.7;;0;291;1022.5;1022.0;;;984.2;10.3;0.0;0;7.4;7.2;7.0;9.0;8.7;9.1;90.0;
75;20230101020000;BAS;88;2.5;6.1;9.0;22.0;;0;287;1022.4;1021.8;;;984.0;10.1;0.0;0;7.2;6.6;5.8;8.6;8.4;8.8;90.5;
75;20230101030000;BAS;90;2.0;3.9;7.2;14.0;;0;307;1022.9;1022.3;;;984.5;10.1;0.0;0;7.1;6.6;6.1;8.6;8.2;9.0;89.7;
75;20230101040000;BAS;102;1.9;5.9;6.8;21.2;;0;313;1022.8;1022.2;;;984.4;10.0;0.0;0;7.0;6.9;6.5;8.7;7.9;9.2;89.0;
75;20230101050000;BAS;90;2.7;5.4;9.7;19.4;;0;279;1023.0;1022.5;;;984.6;10.0;0.0;0;6.9;6.4;5.8;8.5;8.2;8.9;89.8;
75;20230101060000;BAS;98;2.9;6.5;10.4;23.4;;0;281;1022.9;1022.3;;;984.5;9.9;0.0;0;6.9;6.2;5.6;8.6;8.0;8.9;88.8;
75;20230101070000;BAS;94;3.2;6.2;11.5;22.3;;0;279;1023.0;1022.5;;;984.6;9.8;0.0;0;6.7;6.3;6.1;8.6;8.3;8.7;88.1;
75;20230101080000;BAS;86;2.9;5.5;10.4;19.8;;17;278;1023.4;1022.8;;;984.9;9.7;0.0;0;6.5;6.2;5.9;8.1;8.0;8.3;89.6;
75;20230101090000;BAS;86;2.9;5.4;10.4;19.4;;97;285;1023.6;1023.1;;;985.2;9.9;0.0;25;6.8;8.0;6.6;9.3;8.8;9.6;84.6;
75;20230101100000;BAS;95;2.5;5.2;9.0;18.7;;214;284;1023.6;1023.4;;;985.5;10.3;0.0;60;7.4;12.3;10.2;10.8;9.8;12.0;79.4;
75;20230101110000;BAS;92;2.5;5.0;9.0;18.0;;263;288;1022.8;1022.9;;;985.0;10.7;0.0;60;8.0;14.8;14.2;12.7;12.3;13.4;73.0;
75;20230101120000;BAS;90;1.5;4.7;5.4;16.9;;305;291;1022.2;1022.5;;;984.6;11.1;0.0;60;8.5;17.4;16.1;14.3;13.7;14.9;68.1;
75;20230101130000;BAS;102;2.5;6.3;9.0;22.7;;287;296;1020.9;1021.2;;;983.4;11.2;0.0;60;8.6;18.0;17.8;15.4;15.0;15.5;64.0;
75;20230101140000;BAS;80;1.3;3.7;4.7;13.3;;217;300;1020.2;1020.8;;;983.0;11.0;0.0;60;8.4;17.3;14.6;16.7;15.8;17.1;58.1;
75;20230101150000;BAS;98;2.2;6.3;7.9;22.7;;82;296;1020.3;1020.8;;;983.0;10.8;0.0;29;8.1;13.3;12.5;15.6;14.8;16.6;61.0;
75;20230101160000;BAS;103;2.7;5.8;9.7;20.9;;23;293;1020.8;1021.0;;;983.2;10.6;0.0;0;7.8;11.4;10.7;14.2;13.7;14.7;65.0;
