station;termin;nat_abbr;fkl010m0;fkl010m1;fu3010m0;fu3010m1;gre000m0;oli000m0;pp0qffm0;pp0qnhm0;ppz700m0;ppz850m0;prestam0;pva200m0;rre150m0;sre000m0;tre005m0;tre005mn;tre005mx;tre200m0;tre200mn;tre200mx;ure200m0
75;19010101000000;BAS;2.4;;8.6;;;;;;;;983.7;5.5;41.4;3324;;;;-1.2;-14.0;9.5;93.0
75;19010201000000;BAS;1.7;;6.1;;;;;;;;979.0;2.9;34.6;4260;;;;-3.1;-17.0;11.0;52.1
75;19010301000000;BAS;2.4;;8.6;;;;;;;;971.3;6.4;58.6;4110;;;;3.9;-5.5;14.5;79.5
75;19010401000000;BAS;2.7;;9.7;;;;;;;;977.6;8.9;126.5;7998;;;;9.9;-0.5;20.5;73.4
75;19010501000000;BAS;2.4;;8.6;;;;;;;;978.8;11.3;23.5;13806;;;;14.3;2.5;30.8;69.4
75;19010601000000;BAS;2.7;;9.7;;;;;;;;980.6;15.3;149.2;12972;;;;17.3;6.0;32.0;75.9
75;19010701000000;BAS;2.4;;8.6;;;;;;;;979.1;16.2;69.6;13884;;;;19.4;10.0;30.0;72.4
75;19010801000000;BAS;2.4;;8.6;;;;;;;;981.5;15.5;96.5;10824;;;;16.8;6.5;29.0;80.2
75;19010901000000;BAS;2.4;;8.6;;;;;;;;976.9;14.6;121.1;5682;;;;14.8;7.0;25.0;86.3
75;19011001000000;BAS;2.7;;9.7;;;;;;;;977.6;10.3;54.4;5022;;;;9.6;0.5;20.5;84.9
75;19011101000000;BAS;2.4;;8.6;;;;;;;;984.2;6.0;34.1;4272;;;;2.8;-4.8;14.5;79.9
75;19011201000000;BAS;2.4;;8.6;;;;;;;;972.6;6.2;56.9;1296;;;;2.6;-4.0;12.0;83.1
75;19020101000000;BAS;2.7;;9.7;;;;;;;;986.1;6.1;25.6;3702;;;;2.3;-6.0;12.5;83.7
75;19020201000000;BAS;2.0;;7.2;;;;;;;;973.4;5.5;75.5;2676;;;;1.3;-5.4;12.5;80.9
75;19020301000000;BAS;3.1;;11.2;;;;;;;;976.8;6.8;50.9;7488;;;;6.0;-3.5;18.0;73.0
75;19020401000000;BAS;2.0;;7.2;;;;;;;;976.0;10.2;48.3;7721;;;;11.3;-1.0;22.5;75.1
75;19020501000000;BAS;3.1;;11.2;;;;;;;;977.9;9.3;64.1;7026;;;;10.1;0.5;28.0;74.2
75;19020601000000;BAS;2.4;;8.6;;;;;;;;977.8;13.1;36.8;10788;;;;16.2;6.5;30.0;70.7
75;19020701000000;BAS;2.4;;8.6;;;;;;;;981.0;14.8;155.6;14136;;;;18.9;7.0;34.5;67.6
75;19020801000000;BAS;2.4;;8.6;;;;;;;;979.5;15.4;92.0;10050;;;;17.0;6.0;31.0;79.2
75;19020901000000;BAS;2.0;;7.2;;;;;;;;981.6;13.3;52.2;8418;;;;14.0;3.5;28.5;82.0
75;19021001000000;BAS;2.4;;8.6;;;;;;;;979.7;10.2;84.8;2718;;;;8.9;0.5;17.5;87.4
75;19021101000000;BAS;2.4;;8.6;;;;;;;;978.3;6.9;33.8;3282;;;;3.5;-10.0;12.5;84.9
75;19021201000000;BAS;2.7;;9.7;;;;;;;;982.6;5.7;76.3;2598;;;;0.2;-12.0;12.6;85.0
75;19030101000000;BAS;2.7;;9.7;;;;;;;;984.2;5.6;41.1;3516;;;;0.8;-9.5;14.0;81.1
75;19030201000000;BAS;2.4;;8.6;;;;;;;;989.6;6.1;18.9;6432;;;;4.1;-5.5;22.0;74.5
75;19030301000000;BAS;2.7;;9.7;;;;;;;;981.2;6.8;30.6;8412;;;;7.3;-2.0;22.0;68.2
75;19030401000000;BAS;2.7;;9.7;;;;;;;;974.7;6.9;50.8;4506;;;;6.3;-1.5;18.0;72.9
75;19030501000000;BAS;2.4;;8.6;;;;;;;;976.5;11.0;60.2;12726;;;;13.5;2.0;28.0;70.5
75;19030601000000;BAS;2.4;;8.6;;;;;;;;977.5;13.1;98.2;7554;;;;15.3;7.0;31.5;76.3
75;19030701000000;BAS;2.0;;7.2;;;;;;;;979.8;15.0;69.1;9948;;;;17.4;9.0;29.5;75.0
75;19030801000000;BAS;2.4;;8.6;;;;;;;;980.8;15.2;70.7;12252;;;;17.5;8.0;29.0;75.8
75;19030901000000;BAS;2.7;;9.7;;;;;;;;982.2;13.9;43.3;10512;;;;15.0;4.5;30.0;80.5
