station;termin;nat_abbr;dkl010z0;fkl010z0;fkl010z1;fu3010z0;fu3010z1;fve010z0;gre000z0;oli000z0;pp0qffs0;pp0qnhs0;ppz700s0;ppz850s0;prestas0;pva200s0;rre150z0;sre000z0;tde200s0;tre005s0;tre200s0;ure200s0;wcc006s2
75;20230705162000;BAS;285;3.6;8.1;13.0;29.2;3.3;475;327;1016.3;1017.7;;;980.0;11.4;0.0;10;8.9;24.9;22.6;41.5;
75;20230705163000;BAS;282;3.6;7.2;13.0;25.9;3.4;434;322;1016.3;1017.7;;;980.0;10.5;0.0;10;7.7;25.4;22.5;38.6;
75;20230705164000;BAS;286;3.5;6.8;12.6;24.5;3.2;400;320;1016.3;1017.7;;;980.0;10.7;0.0;10;8.0;25.0;22.4;39.6;
75;20230705165000;BAS;283;3.9;7.3;14.0;26.3;3.6;368;317;1016.3;1017.7;;;980.0;10.5;0.0;10;7.7;24.4;22.2;39.2;
75;20230705170000;BAS;274;3.4;6.8;12.2;24.5;3.1;338;315;1016.4;1017.8;;;980.1;10.4;0.0;10;7.5;23.9;22.3;38.6;
75;20230705171000;BAS;282;3.2;7.3;11.5;26.3;2.8;320;315;1016.5;1017.8;;;980.1;10.5;0.0;10;7.7;23.7;22.0;39.7;
75;20230705172000;BAS;283;3.3;6.6;11.9;23.8;3.0;300;316;1016.5;1017.8;;;980.1;10.0;0.0;10;6.9;23.5;22.0;37.7;
75;20230705173000;BAS;280;2.9;6.0;10.4;21.6;2.7;258;317;1016.5;1017.8;;;980.1;10.6;0.0;10;7.8;23.1;21.8;40.5;
75;20230705174000;BAS;285;2.9;5.7;10.4;20.5;2.6;241;317;1016.5;1017.8;;;980.1;10.7;0.0;10;8.0;22.0;21.7;41.4;
75;20230705175000;BAS;272;2.8;6.3;10.1;22.7;2.6;211;316;1016.5;1017.8;;;980.1;10.4;0.0;10;7.6;21.5;21.5;40.6;
75;20230705180000;BAS;281;2.3;5.8;8.3;20.9;2.0;148;315;1016.6;1017.8;;;980.1;10.3;0.0;10;7.4;21.0;21.2;41.0;
75;20230705181000;BAS;265;2.5;5.4;9.0;19.4;2.4;135;312;1016.7;1017.9;;;980.2;10.4;0.0;10;7.6;19.0;20.9;42.1;
