station;termin;nat_abbr;fkl010y0;fkl010y1;fu3010y0;fu3010y1;gre000y0;oli000y0;pp0qffy0;pp0qnhy0;ppz700y0;ppz850y0;prestay0;pva200y0;rre150y0;sre000y0;tre005y0;tre005yn;tre005yx;tre200y0;tre200yn;tre200yx;ure200y0
75;18640101000000;BAS;;;;;;;;;;;982.8;9.2;743.8;;;;;8.7;;;74.9
75;18650101000000;BAS;;;;;;;;;;;982.8;9.9;814.7;;;;;10.3;;;73.9
75;18660101000000;BAS;;;;;;;;;;;982.3;10.2;1079.4;;;;;10.5;-4.9;;76.3
75;18670101000000;BAS;;;;;;;;;;;983.0;10.1;1154.1;;;;;9.7;-12.5;;77.7
75;18680101000000;BAS;;;;;;;;;;;983.5;10.5;890.2;;;;;10.8;;;75.5
75;18690101000000;BAS;;;;;;;;;;;983.1;9.7;901.0;;;;;9.6;-13.5;;75.8
75;18700101000000;BAS;;;;;;;;;;;982.5;9.1;798.9;;;;;9.0;-15.8;;73.3
75;18710101000000;BAS;;;;;;;;;;;983.1;9.3;712.8;;;;;8.4;;;75.9
75;18720101000000;BAS;;;;;;;;;;;980.6;10.4;1257.1;;;;;10.5;;;77.7
75;18730101000000;BAS;;;;;;;;;;;983.2;10.2;846.8;;;;;10.0;;;77.4
75;18740101000000;BAS;;;;;;;;;;;985.3;9.7;754.3;;;;;9.6;;;75.6
75;18750101000000;BAS;;;;;;;;;;;984.8;10.3;625.2;;;;;9.5;;;79.7
75;18760101000000;BAS;;;;;;;;;;;982.3;;805.6;;;;;10.1;;;
75;18770101000000;BAS;;;;;;;;;;;982.8;;733.5;;;;;10.2;-10.5;35.0;
75;18780101000000;BAS;;;;;;;;;;;982.7;;841.8;;;;;9.5;-18.0;31.0;
75;18790101000000;BAS;1.7;;6.1;;;;;;;;982.7;;682.6;;;;;8.1;-24.0;33.0;
75;18800101000000;BAS;;;;;;;;;;;984.3;;900.8;;;;;10.2;-20.0;32.0;
75;18810101000000;BAS;2.0;;7.2;;;;;;;;983.4;;792.2;;;;;9.7;-19.0;35.0;
75;18820101000000;BAS;2.7;;9.7;;;;;;;;984.4;;841.0;;;;;10.0;-8.0;30.0;
75;18830101000000;BAS;2.7;;9.7;;;;;;;;984.0;;594.5;;;;;9.5;-12.0;;
75;18840101000000;BAS;2.7;;9.7;;;;;;;;984.8;;492.5;;;;;10.0;-9.0;;
75;18850101000000;BAS;2.7;;9.7;;;;;;;;982.5;;551.6;;;;;9.3;;;
75;18860101000000;BAS;2.4;;8.6;;;;;;;;982.5;;743.6;106020;;;;9.6;;;
75;18870101000000;BAS;;;;;;;;;;;984.2;;531.0;107358;;;;8.2;;;
75;18880101000000;BAS;;;;;;;;;;;983.7;;675.0;94854;;;;8.4;;;
75;18890101000000;BAS;;;;;;;;;;;983.6;;747.5;84762;;;;8.6;;;
75;18900101000000;BAS;2.7;;9.7;;;;;;;;984.0;;657.5;102180;;;;8.5;;;
75;18910101000000;BAS;;;;;;;;;;;984.6;;866.0;108630;;;;8.7;;;
75;18920101000000;BAS;;;;;;;;;;;982.9;;735.7;101430;;;;9.5;;;
75;18930101000000;BAS;1.7;;6.1;;;;;;;;984.7;;542.1;119892;;;;9.9;;;
75;18940101000000;BAS;2.7;;9.7;;;;;;;;984.7;;799.1;100416;;;;9.4;;;
75;18950101000000;BAS;3.1;;11.2;;;;;;;;982.0;;622.8;116706;;;;9.1;;;
75;18960101000000;BAS;3.1;;11.2;;;;;;;;984.6;;888.0;85218;;;;8.8;;;
75;18970101000000;BAS;3.1;;11.2;;;;;;;;984.5;;731.1;96084;;;;9.9;;;
