station;termin;nat_abbr;rh9120mv;rhs150m0
536;19010101000000;AIR;25;27.2
536;19010201000000;AIR;59;48.4
536;19010301000000;AIR;292;289.2
536;19010401000000;AIR;185;280.3
536;19010501000000;AIR;47;86.0
536;19010601000000;AIR;117;204.9
536;19010701000000;AIR;170;226.5
536;19010801000000;AIR;58;102.2
536;19010901000000;AIR;82;155.0
536;19011001000000;AIR;142;308.4
536;19011101000000;AIR;17;36.9
536;19011201000000;AIR;219;251.8
536;19020101000000;AIR;75;80.1
536;19020201000000;AIR;159;130.5
536;19020301000000;AIR;308;305.7
536;19020401000000;AIR;50;75.0
536;19020501000000;AIR;71;129.9
536;19020601000000;AIR;66;115.6
536;19020701000000;AIR;91;120.5
536;19020801000000;AIR;183;320.5
536;19020901000000;AIR;65;123.5
536;19021001000000;AIR;104;225.2
536;19021101000000;AIR;48;105.3
536;19021201000000;AIR;68;78.2
536;19030101000000;AIR;70;75.2
536;19030201000000;AIR;44;36.0
536;19030301000000;AIR;135;134.2
536;19030401000000;AIR;130;196.6
536;19030501000000;AIR;149;274.8
536;19030601000000;AIR;100;175.3
536;19030701000000;AIR;221;293.9
536;19030801000000;AIR;111;194.9
536;19030901000000;AIR;59;112.0
536;19031001000000;AIR;119;257.5
536;19031101000000;AIR;49;106.8
536;19031201000000;AIR;155;177.9
536;19040101000000;AIR;34;36.5
536;19040201000000;AIR;294;241.0
536;19040301000000;AIR;118;117.4
536;19040401000000;AIR;85;128.8
536;19040501000000;AIR;87;160.9
536;19040601000000;AIR;87;152.9
536;19040701000000;AIR;56;74.2
536;19040801000000;AIR;27;47.3
536;19040901000000;AIR;79;149.4
536;19041001000000;AIR;16;35.3
536;19041101000000;AIR;21;46.7
536;19041201000000;AIR;52;59.2
536;19050101000000;AIR;30;32.2
536;19050201000000;AIR;32;26.0
536;19050301000000;AIR;70;69.8
536;19050401000000;AIR;137;206.9
536;19050501000000;AIR;170;312.7
536;19050601000000;AIR;51;88.7
536;19050701000000;AIR;47;62.1
536;19050801000000;AIR;185;324.0
536;19050901000000;AIR;185;351.3
536;19051001000000;AIR;12;26.4
536;19051101000000;AIR;124;271.1
536;19051201000000;AIR;20;22.6
536;19060101000000;AIR;51;55.1
536;19060201000000;AIR;84;68.7
536;19060301000000;AIR;84;82.9
536;19060401000000;AIR;103;155.2
536;19060501000000;AIR;35;64.8
536;19060601000000;AIR;14;25.3
536;19060701000000;AIR;70;93.3
536;19060801000000;AIR;39;68.2
536;19060901000000;AIR;34;63.7
536;19061001000000;AIR;67;145.5
536;19061101000000;AIR;228;499.7
536;19061201000000;AIR;48;55.1
536;19070101000000;AIR;38;40.8
536;19070201000000;AIR;41;33.9
536;19070301000000;AIR;56;55.6
536;19070401000000;AIR;46;70.4
536;19070501000000;AIR;77;140.9
536;19070601000000;AIR;117;204.2
536;19070701000000;AIR;162;215.5
536;19070801000000;AIR;69;120.4
536;19070901000000;AIR;102;192.7
536;19071001000000;AIR;327;709.5
536;19071101000000;AIR;28;60.8
536;19071201000000;AIR;144;165.4
536;19080101000000;AIR;14;15.0
536;19080201000000;AIR;100;82.0
536;19080301000000;AIR;128;126.5
536;19080401000000;AIR;82;124.1
536;19080501000000;AIR;173;317.7
536;19080601000000;AIR;94;165.2
536;19080701000000;AIR;157;208.8
536;19080801000000;AIR;100;175.4
536;19080901000000;AIR;70;133.6
536;19081001000000;AIR;50;107.7
536;19081101000000;AIR;28;61.6
536;19081201000000;AIR;29;33.2
536;19090101000000;AIR;12;13.3
536;19090201000000;AIR;91;74.2
536;19090301000000;AIR;125;124.3
536;19090401000000;AIR;96;145.0
536;19090501000000;AIR;81;149.0
536;19090601000000;AIR;174;304.4
536;19090701000000;AIR;100;133.4
536;19090801000000;AIR;137;239.3
536;19090901000000;AIR;61;116.5
536;19091001000000;AIR;144;313.6
536;19091101000000;AIR;32;70.5
536;19091201000000;AIR;178;204.0
536;19100101000000;AIR;167;178.2
536;19100201000000;AIR;96;78.5
536;19100301000000;AIR;116;114.7
536;19100401000000;AIR;144;218.5
536;19100501000000;AIR;53;97.4
536;19100601000000;AIR;100;175.9
536;19100701000000;AIR;114;151.7
536;19100801000000;AIR;84;147.0
536;19100901000000;AIR;41;77.6
536;19101001000000;AIR;136;296.0
536;19101101000000;AIR;91;200.3
536;19101201000000;AIR;338;388.2
536;19110101000000;AIR;7;7.1
536;19110201000000;AIR;85;69.8
536;19110301000000;AIR;141;139.7
536;19110401000000;AIR;32;48.5
536;19110501000000;AIR;49;90.7
536;19110601000000;AIR;143;249.9
536;19110701000000;AIR;4;4.7
536;19110801000000;AIR;132;230.0
536;19110901000000;AIR;68;129.1
536;19111001000000;AIR;181;394.2
536;19111101000000;AIR;154;338.8
536;19111201000000;AIR;115;131.9
536;19120101000000;AIR;104;111.1
536;19120201000000;AIR;191;156.2
536;19120301000000;AIR;149;147.9
536;19120401000000;AIR;21;31.1
536;19120501000000;AIR;52;96.5
