station;termin;nat_abbr;th9120dv;th91dndv;th91dxdv;ths200d0;ths200dn;ths200dx
75;20230101000000;BAS;9.2;8.2;12.1;11.4;7.9;17.1
75;20230102000000;BAS;7.9;6.0;10.4;10.1;5.7;15.3
75;20230103000000;BAS;4.7;2.9;4.7;6.9;2.6;9.6
75;20230104000000;BAS;4.2;2.3;7.3;6.4;2.0;12.2
75;20230105000000;BAS;8.8;6.9;7.7;11.0;6.5;12.6
75;20230106000000;BAS;6.3;5.1;5.9;8.5;4.7;10.8
75;20230107000000;BAS;5.6;5.0;6.9;7.8;4.6;11.8
75;20230108000000;BAS;4.2;4.8;2.9;6.4;4.4;7.8
75;20230109000000;BAS;4.0;4.6;3.9;6.2;4.2;8.8
75;20230110000000;BAS;3.4;3.9;3.5;5.6;3.5;8.4
75;20230111000000;BAS;5.3;5.9;5.9;7.5;5.4;10.8
75;20230112000000;BAS;7.4;5.6;6.3;9.6;5.1;11.2
75;20230113000000;BAS;6.8;7.0;6.6;9.0;6.5;11.6
75;20230114000000;BAS;6.3;4.6;9.0;8.5;4.1;14.0
75;20230115000000;BAS;4.6;1.1;9.2;6.8;0.6;14.2
75;20230116000000;BAS;1.8;1.5;2.0;4.0;1.0;7.0
75;20230117000000;BAS;-1.0;-0.1;-1.8;1.2;-0.6;3.2
75;20230118000000;BAS;-1.8;-1.8;-3.1;0.4;-2.3;1.9
75;20230119000000;BAS;-3.0;-3.1;-3.2;-0.8;-3.7;1.9
75;20230120000000;BAS;-3.8;-3.3;-2.8;-1.6;-3.9;2.3
75;20230121000000;BAS;-4.5;-5.3;-4.8;-2.3;-5.9;0.3
75;20230122000000;BAS;-2.7;-1.0;-4.7;-0.5;-1.6;0.5
75;20230123000000;BAS;-1.2;0.0;-2.8;1.0;-0.6;2.4
75;20230124000000;BAS;0.6;1.9;-1.5;2.8;1.3;3.7
75;20230125000000;BAS;-0.3;1.4;-2.6;1.9;0.8;2.7
75;20230126000000;BAS;-2.3;-0.7;-4.4;-0.1;-1.3;0.9
75;20230127000000;BAS;-2.7;-1.0;-4.6;-0.5;-1.6;0.8
75;20230128000000;BAS;-1.1;0.0;-3.1;1.1;-0.6;2.3
75;20230129000000;BAS;-2.5;-2.9;-3.1;-0.3;-3.5;2.3
75;20230130000000;BAS;-1.0;-3.2;-0.5;1.2;-3.8;5.0
75;20230131000000;BAS;0.7;-0.7;0.1;3.0;-1.3;5.6
75;20230201000000;BAS;2.6;1.8;1.3;4.9;1.2;7.0
75;20230202000000;BAS;3.6;4.8;1.3;5.9;4.2;7.0
75;20230203000000;BAS;4.2;3.3;3.6;6.5;2.7;9.4
75;20230204000000;BAS;3.8;2.9;2.6;6.2;2.3;8.5
75;20230205000000;BAS;1.2;2.6;-0.5;3.6;2.0;5.4
75;20230206000000;BAS;0.3;1.3;-1.6;2.7;0.7;4.4
75;20230207000000;BAS;-2.1;-2.6;-1.4;0.4;-3.2;4.7
75;20230208000000;BAS;-3.9;-5.6;-2.5;-1.4;-6.1;3.7
75;20230209000000;BAS;-2.8;-3.8;0.0;-0.2;-4.3;6.3
75;20230210000000;BAS;-2.7;-3.8;-0.5;0.0;-4.3;5.9
75;20230211000000;BAS;-1.4;-3.5;1.7;1.3;-3.9;8.2
75;20230212000000;BAS;-0.6;-3.5;3.1;2.2;-3.9;9.7
75;20230213000000;BAS;2.3;-0.3;4.1;5.2;-0.6;10.8
75;20230214000000;BAS;-0.1;-0.9;1.8;2.8;-1.2;8.6
75;20230215000000;BAS;0.7;-1.0;4.4;3.7;-1.2;11.3
75;20230216000000;BAS;3.5;-0.1;7.3;6.6;-0.3;14.4
75;20230217000000;BAS;7.2;6.5;6.7;10.4;6.4;13.9
75;20230218000000;BAS;9.2;10.7;7.6;12.5;10.6;14.9
75;20230219000000;BAS;6.1;8.1;3.2;9.5;8.1;10.7
75;20230220000000;BAS;5.2;4.0;7.8;8.7;4.1;15.4
75;20230221000000;BAS;4.2;1.4;8.9;7.8;1.6;16.7
75;20230222000000;BAS;4.0;2.3;4.8;7.7;2.5;12.7
75;20230223000000;BAS;6.1;7.2;6.0;10.0;7.5;14.1
75;20230224000000;BAS;4.9;5.3;4.9;8.9;5.7;13.1
75;20230225000000;BAS;0.5;0.9;-1.7;4.6;1.4;6.7
75;20230226000000;BAS;-3.4;-2.3;-4.7;0.9;-1.7;3.8
75;20230227000000;BAS;-3.3;-0.5;-6.3;1.1;0.2;2.4
75;20230228000000;BAS;-4.4;-2.9;-6.6;0.2;-2.1;2.3
75;20230301000000;BAS;-5.0;-4.5;-6.4;0.0;-3.3;3.0
75;20230302000000;BAS;-2.7;-1.0;-3.7;2.4;0.3;5.9
75;20230303000000;BAS;-1.6;-0.8;-1.5;3.7;0.6;8.2
75;20230304000000;BAS;-2.7;-2.3;-2.2;2.7;-0.8;7.7
75;20230305000000;BAS;-3.2;-4.3;-1.6;2.4;-2.7;8.5
75;20230306000000;BAS;-2.8;-3.2;-4.1;2.9;-1.5;6.2
75;20230307000000;BAS;-1.6;-1.5;-2.9;4.3;0.3;7.5
75;20230308000000;BAS;2.8;0.1;4.2;8.8;2.0;14.8
75;20230309000000;BAS;6.6;7.0;6.7;12.7;9.0;17.4
75;20230310000000;BAS;2.5;2.1;0.7;8.8;4.2;11.6
75;20230311000000;BAS;-3.2;-1.8;-5.7;3.2;0.4;5.4
75;20230312000000;BAS;2.0;1.9;2.5;8.5;4.2;13.7
75;20230313000000;BAS;7.2;5.0;12.0;13.9;7.4;23.4
75;20230314000000;BAS;2.1;2.3;0.5;8.9;4.8;12.0
75;20230315000000;BAS;-2.0;-2.6;-1.7;4.9;-0.1;10.0
75;20230316000000;BAS;0.2;-3.7;2.3;7.3;-1.1;14.1
75;20230317000000;BAS;3.5;2.4;6.0;10.7;5.1;18.0
75;20230318000000;BAS;4.2;1.6;5.7;11.5;4.4;17.9
75;20230319000000;BAS;2.6;3.8;1.7;10.0;6.7;14.0
75;20230320000000;BAS;2.0;1.8;1.6;9.5;4.8;14.1
75;20230321000000;BAS;2.8;0.7;4.2;10.5;3.8;16.8
75;20230322000000;BAS;5.0;2.8;7.0;12.8;6.0;19.7
75;20230323000000;BAS;6.7;7.8;5.4;14.6;11.1;18.3
75;20230324000000;BAS;4.9;4.2;5.6;12.9;7.5;18.6
75;20230325000000;BAS;1.7;1.9;0.6;9.8;5.3;13.8
75;20230326000000;BAS;0.7;2.1;1.6;9.0;5.6;14.9
75;20230327000000;BAS;-2.6;0.4;-4.7;5.8;4.0;8.8
75;20230328000000;BAS;-1.3;-3.7;-1.3;7.2;0.0;12.3
75;20230329000000;BAS;4.7;3.7;7.1;13.3;7.4;20.8
75;20230330000000;BAS;6.3;8.6;4.8;15.0;12.4;18.7
75;20230331000000;BAS;3.1;2.9;3.1;11.9;6.8;17.1
75;20230401000000;BAS;0.3;2.2;-1.9;9.3;6.2;12.4
75;20230402000000;BAS;0.1;1.4;-1.5;9.2;5.5;12.9
75;20230403000000;BAS;-4.1;-1.6;-6.2;5.1;2.6;8.4
75;20230404000000;BAS;-4.4;-5.2;-4.5;4.9;-0.9;10.2
75;20230405000000;BAS;-5.2;-6.2;-3.8;4.3;-1.8;11.0
75;20230406000000;BAS;-2.0;-4.7;-1.4;7.6;-0.2;13.6
75;20230407000000;BAS;-3.3;-0.6;-6.3;6.4;4.0;8.8
75;20230408000000;BAS;-1.6;-1.7;-3.0;8.2;3.0;12.3
75;20230409000000;BAS;-0.4;-0.8;0.0;9.5;4.0;15.4
75;20230410000000;BAS;2.2;-0.4;2.0;12.2;4.4;17.5
75;20230411000000;BAS;1.1;3.5;-0.1;11.2;8.4;15.5
75;20230412000000;BAS;-0.4;1.3;-0.6;9.9;6.3;15.2
75;20230413000000;BAS;-3.0;-1.0;-5.3;7.4;4.2;10.6
75;20230414000000;BAS;-1.8;-2.6;-1.8;8.7;2.7;14.2
75;20230415000000;BAS;-2.1;0.1;-4.0;8.5;5.5;12.2
