station;termin;nat_abbr;th9120dv;th91dndv;th91dxdv;ths200d0;ths200dn;ths200dx
75;19710101000000;BAS;-11.0;-9.6;-11.8;-8.8;-9.9;-6.8
75;19710102000000;BAS;-14.1;-17.1;-10.7;-11.9;-17.4;-5.8
75;19710103000000;BAS;-13.5;-17.8;-10.7;-11.3;-18.1;-5.8
75;19710104000000;BAS;-11.5;-14.3;-7.1;-9.3;-14.6;-2.2
75;19710105000000;BAS;-12.3;-16.1;-9.4;-10.1;-16.5;-4.5
75;19710106000000;BAS;-13.2;-17.6;-9.1;-11.0;-18.0;-4.2
75;19710107000000;BAS;-9.2;-17.5;-7.2;-7.0;-17.9;-2.3
75;19710108000000;BAS;-5.7;-6.9;-5.7;-3.5;-7.3;-0.8
75;19710109000000;BAS;-3.2;-4.3;-1.1;-1.0;-4.7;3.8
75;19710110000000;BAS;-8.7;-8.7;-6.8;-6.5;-9.1;-1.9
75;19710111000000;BAS;-4.5;-8.4;-1.2;-2.3;-8.9;3.7
75;19710112000000;BAS;-4.2;-4.6;-2.9;-2.0;-5.1;2.0
75;19710113000000;BAS;-5.5;-6.3;-3.3;-3.3;-6.8;1.7
75;19710114000000;BAS;-5.5;-6.0;-4.1;-3.3;-6.5;0.9
75;19710115000000;BAS;-3.4;-5.2;-1.0;-1.2;-5.7;4.0
75;19710116000000;BAS;-3.5;-3.2;-4.6;-1.3;-3.7;0.4
75;19710117000000;BAS;-1.8;-1.2;-0.3;0.4;-1.7;4.7
75;19710118000000;BAS;-4.2;-4.7;-3.3;-2.0;-5.2;1.7
75;19710119000000;BAS;-1.7;-1.9;-1.0;0.5;-2.5;4.1
75;19710120000000;BAS;0.9;2.3;-0.9;3.1;1.7;4.2
75;19710121000000;BAS;-0.2;0.9;-2.4;2.0;0.3;2.7
75;19710122000000;BAS;2.7;1.5;1.7;4.9;0.9;6.9
75;19710123000000;BAS;2.2;0.2;8.1;4.4;-0.4;13.3
75;19710124000000;BAS;5.5;5.7;5.1;7.7;5.1;10.3
75;19710125000000;BAS;4.1;2.7;3.5;6.3;2.1;8.8
75;19710126000000;BAS;6.7;6.8;6.7;8.9;6.2;12.0
75;19710127000000;BAS;4.7;4.7;3.6;6.9;4.1;9.0
75;19710128000000;BAS;4.0;4.5;2.6;6.2;3.9;8.0
75;19710129000000;BAS;1.7;0.4;3.5;3.9;-0.2;8.9
75;19710130000000;BAS;1.4;1.8;-0.2;3.6;1.2;5.3
75;19710131000000;BAS;-0.5;-0.1;-1.5;1.8;-0.7;4.0
75;19710201000000;BAS;-0.9;0.9;-2.8;1.4;0.3;2.9
75;19710202000000;BAS;-3.4;-1.9;-4.4;-1.1;-2.5;1.3
75;19710203000000;BAS;-4.7;-5.8;-4.8;-2.4;-6.4;1.0
75;19710204000000;BAS;-1.5;-0.9;-2.6;0.9;-1.5;3.3
75;19710205000000;BAS;-2.7;-1.7;-3.4;-0.3;-2.3;2.5
75;19710206000000;BAS;-3.9;-2.9;-5.5;-1.5;-3.5;0.5
75;19710207000000;BAS;-3.1;-0.8;-6.3;-0.6;-1.4;-0.2
75;19710208000000;BAS;-0.8;-0.2;-1.1;1.7;-0.7;5.1
75;19710209000000;BAS;-0.9;-0.8;0.9;1.7;-1.3;7.2
75;19710210000000;BAS;-2.6;-2.8;-1.7;0.1;-3.3;4.7
75;19710211000000;BAS;-3.0;-2.6;-1.0;-0.3;-3.0;5.5
75;19710212000000;BAS;-0.7;-2.4;2.1;2.1;-2.8;8.7
75;19710213000000;BAS;2.9;0.6;2.9;5.8;0.3;9.6
75;19710214000000;BAS;1.8;4.1;0.4;4.7;3.8;7.2
75;19710215000000;BAS;1.0;-1.3;3.3;4.0;-1.5;10.2
75;19710216000000;BAS;-0.3;1.3;-3.1;2.8;1.1;4.0
75;19710217000000;BAS;0.2;-0.5;0.4;3.4;-0.6;7.6
75;19710218000000;BAS;1.3;1.6;0.8;4.6;1.5;8.1
75;19710219000000;BAS;0.4;1.8;-2.8;3.8;1.8;4.7
75;19710220000000;BAS;0.1;-0.2;-1.4;3.6;-0.1;6.2
75;19710221000000;BAS;-1.0;-0.7;-2.5;2.6;-0.5;5.3
75;19710222000000;BAS;0.6;1.6;-0.7;4.3;1.8;7.2
75;19710223000000;BAS;-1.5;-0.2;-3.8;2.4;0.1;4.3
75;19710224000000;BAS;-2.6;-3.1;-2.5;1.4;-2.7;5.7
75;19710225000000;BAS;-0.5;-0.8;-1.9;3.6;-0.3;6.5
75;19710226000000;BAS;0.0;1.9;-1.9;4.3;2.5;6.6
75;19710227000000;BAS;-4.8;-2.8;-7.2;-0.4;-2.1;1.5
75;19710228000000;BAS;-8.7;-8.2;-9.4;-4.1;-7.4;-0.5
75;19710301000000;BAS;-7.7;-5.8;-9.9;-2.7;-4.6;-0.5
75;19710302000000;BAS;-8.4;-10.1;-8.3;-3.3;-8.8;1.3
75;19710303000000;BAS;-7.0;-7.6;-9.2;-1.7;-6.2;0.5
75;19710304000000;BAS;-11.5;-9.2;-14.0;-6.1;-7.7;-4.1
75;19710305000000;BAS;-14.3;-14.9;-15.4;-8.7;-13.3;-5.3
75;19710306000000;BAS;-16.2;-16.7;-16.1;-10.5;-15.0;-5.8
75;19710307000000;BAS;-12.4;-14.5;-12.6;-6.5;-12.7;-2.2
75;19710308000000;BAS;-9.3;-11.7;-8.2;-3.3;-9.8;2.4
75;19710309000000;BAS;-7.7;-8.9;-7.8;-1.6;-6.9;2.9
75;19710310000000;BAS;-5.4;-3.4;-7.1;0.9;-1.3;3.8
75;19710311000000;BAS;-4.4;-2.5;-8.2;2.0;-0.3;2.9
75;19710312000000;BAS;-3.8;-3.6;-3.1;2.7;-1.3;8.1
