station;termin;nat_abbr;fh9120mv;fhs010m0;gh9120mv;ghs000m0;ph9120mv;phsstam0;pv9120mv;pva2hsm0;rh9120mv;rhs150m0;sh9120mv;shs000m0;th9120mv;th91dnmv;th91dxmv;ths200m0;ths2dymn;ths2dymx
75;19010101000000;BAS;;;;;;;;;87;41.4;92;3565;-3.8;-5.0;-3.2;-1.6;-5.5;1.9
75;19010201000000;BAS;;;;;;;;;77;34.6;88;4499;-6.8;-7.7;-6.3;-3.6;-7.8;0.8
75;19010301000000;BAS;;;;;;;;;118;58.6;54;4394;-3.7;-3.2;-4.0;3.3;-0.6;7.8
75;19010401000000;BAS;;;;;;;;;199;126.5;85;8555;-1.4;-1.2;-1.3;9.3;4.3;14.9
75;19010501000000;BAS;;;;;;;;;24;23.5;132;14679;-1.0;-2.5;0.1;13.6;7.0;20.1
75;19010601000000;BAS;;;;;;;;;172;149.2;108;13740;-1.7;-2.1;-0.5;16.5;11.0;23.2
75;19010701000000;BAS;;;;;;;;;78;69.6;107;15024;-1.6;-1.5;-0.4;18.6;13.4;25.4
75;19010801000000;BAS;;;;;;;;;109;96.5;91;11886;-3.6;-3.1;-3.1;16.1;11.7;22.2
75;19010901000000;BAS;;;;;;;;;173;121.1;63;6069;-1.4;-0.1;-1.5;14.0;10.9;19.2
75;19011001000000;BAS;;;;;;;;;73;54.4;82;5255;-2.3;-2.4;-1.9;8.8;5.2;13.5
75;19011101000000;BAS;;;;;;;;;53;34.1;116;4558;-3.7;-4.7;-3.0;2.3;-1.5;6.2
75;19011201000000;BAS;;;;;;;;;88;56.9;43;1405;-0.7;-1.3;-1.0;2.2;-0.9;4.7
75;19020101000000;BAS;;;;;;;;;54;25.6;103;3970;-0.3;-0.9;0.2;1.9;-1.4;5.3
75;19020201000000;BAS;;;;;;;;;167;75.5;55;2826;-2.4;-2.1;-2.8;0.8;-2.2;4.3
75;19020301000000;BAS;;;;;;;;;103;50.9;99;8005;-1.6;-1.8;-0.8;5.4;0.8;11.0
75;19020401000000;BAS;;;;;;;;;76;48.3;82;8259;0.0;0.6;-0.1;10.7;6.1;16.1
75;19020501000000;BAS;;;;;;;;;66;64.1;67;7470;-5.2;-4.6;-5.2;9.4;4.9;14.8
75;19020601000000;BAS;;;;;;;;;42;36.8;90;11426;-2.8;-3.1;-2.0;15.4;10.0;21.7
75;19020701000000;BAS;;;;;;;;;175;155.6;109;15297;-2.1;-2.5;-0.5;18.1;12.4;25.3
75;19020801000000;BAS;;;;;;;;;104;92.0;85;11036;-3.4;-2.7;-3.2;16.3;12.1;22.1
75;19020901000000;BAS;;;;;;;;;74;52.2;94;8991;-2.2;-1.6;-1.6;13.2;9.4;19.1
75;19021001000000;BAS;;;;;;;;;114;84.8;44;2844;-3.0;-2.5;-3.0;8.1;5.1;12.4
75;19021101000000;BAS;;;;;;;;;52;33.8;89;3501;-3.0;-3.4;-3.1;3.0;-0.2;6.1
75;19021201000000;BAS;;;;;;;;;117;76.3;87;2816;-3.1;-4.2;-2.7;-0.2;-3.8;3.0
75;19030101000000;BAS;;;;;;;;;86;41.1;97;3770;-1.8;-2.7;-1.3;0.4;-3.2;3.8
75;19030201000000;BAS;;;;;;;;;42;18.9;133;6793;0.4;-0.6;1.7;3.6;-0.7;8.8
