station;termin;nat_abbr;fh9120yv;fhs010y0;gh9120yv;ghs000y0;ph9120yv;phsstay0;pv9120yv;pva2hsy0;rh9120yv;rhs150y0;sh9120yv;shs000y0;th9120yv;th91dnyv;th91dxyv;ths200y0;ths2dyyn;ths2dyyx
75;18640101000000;BAS;;;;;;;;;72;606.4;;;-3.2;;;7.7;;
75;18650101000000;BAS;;;;;;;;;77;651.7;;;-1.6;;;9.3;;
75;18660101000000;BAS;;;;;;;;;106;890.3;;;-1.2;;;9.7;;
75;18670101000000;BAS;;;;;;;;;110;926.1;;;-1.8;;;9.1;;
75;18680101000000;BAS;;;;;;;;;91;764.2;;;-0.8;;;10.1;;
75;18690101000000;BAS;;;;;;;;;88;744.3;;;-1.9;;;9.0;;
75;18700101000000;BAS;;;;;;;;;79;662.2;;;-2.5;;;8.4;;
75;18710101000000;BAS;;;;;;;;;68;573.3;;;-3.1;;;7.8;;
75;18720101000000;BAS;;;;;;;;;119;1004.7;;;-1.1;;;9.8;;
75;18730101000000;BAS;;;;;;;;;83;700.5;;;-1.5;;;9.4;;
75;18740101000000;BAS;;;;;;;;;73;612.3;;;-2.0;;;8.9;;
75;18750101000000;BAS;;;;;;;;;87;730.0;;;-2.1;;;8.8;;
75;18760101000000;BAS;;;;;;;;;112;940.7;;;-1.6;;;9.3;;
75;18770101000000;BAS;;;;;;;;;102;856.5;;;-1.4;;;9.5;;
75;18780101000000;BAS;;;;;;;;;117;982.9;;;-2.2;;;8.7;;
75;18790101000000;BAS;;;;;;;;;95;797.0;;;-3.6;;;7.3;;
75;18800101000000;BAS;;;;;;;;;125;1051.7;;;-1.6;;;9.3;;
75;18810101000000;BAS;;;;;;;;;110;925.1;;;-2.1;;;8.8;;
75;18820101000000;BAS;;;;;;;;;117;982.1;;;-1.9;;;9.0;;
75;18830101000000;BAS;;;;;;;;;82;694.3;;;-2.1;;;8.8;;
75;18840101000000;BAS;;;;;;;;;68;575.0;;;-1.5;;;9.4;;
75;18850101000000;BAS;;;;;;;;;76;644.0;;;-2.2;;;8.7;;
75;18860101000000;BAS;;;;;;;;;103;868.2;103;104697;-2.0;;;8.9;;
75;18870101000000;BAS;;;;;;;;;74;620.1;104;105479;-3.4;;;7.5;;
75;18880101000000;BAS;;;;;;;;;94;788.3;92;93300;-3.1;;;7.8;;
75;18890101000000;BAS;;;;;;;;;89;747.5;83;83907;-3.0;;;7.9;;
75;18900101000000;BAS;;;;;;;;;78;657.5;99;100474;-3.0;;;7.9;;
75;18910101000000;BAS;;;;;;;;;103;866.0;105;106396;-2.9;;;8.0;;
75;18920101000000;BAS;;;;;;;;;87;735.7;99;100676;-2.0;;;8.9;;
75;18930101000000;BAS;;;;;;;;;64;542.1;117;118396;-1.7;;;9.2;;
75;18940101000000;BAS;;;;;;;;;95;799.1;97;98272;-2.1;;;8.8;;
75;18950101000000;BAS;;;;;;;;;74;622.8;114;115655;-2.5;;;8.4;;
75;18960101000000;BAS;;;;;;;;;105;888.0;83;83684;-2.7;;;8.2;;
75;18970101000000;BAS;;;;;;;;;87;731.1;94;94771;-1.7;;;9.2;;
75;18980101000000;BAS;;;;;;;;;85;714.8;94;95227;-1.5;-1.5;-1.1;9.4;5.3;14.4
75;18990101000000;BAS;;;;;;;;;83;699.9;112;113136;-1.7;-2.2;-0.8;9.2;4.6;14.7
75;19000101000000;BAS;;;;;;;;;97;813.0;93;93671;-1.4;-1.5;-0.9;9.5;5.3;14.6
75;19010101000000;BAS;;;;;;;;;103;866.4;92;93629;-2.6;-2.9;-2.2;8.3;3.9;13.3
75;19020101000000;BAS;;;;;;;;;95;795.9;85;86441;-2.4;-2.4;-2.1;8.5;4.4;13.4
75;19030101000000;BAS;;;;;;;;;77;650.4;90;91287;-2.0;-2.1;-1.5;8.9;4.7;14.0
75;19040101000000;BAS;;;;;;;;;72;602.6;92;93618;-1.5;-1.7;-1.0;9.4;5.1;14.5
75;19050101000000;BAS;;;;;;;;;112;940.2;97;98514;-2.2;-2.3;-1.9;8.7;4.5;13.6
75;19060101000000;BAS;;;;;;;;;78;660.8;105;106611;-1.8;-2.3;-1.2;9.1;4.5;14.3
