station;termin;nat_abbr;hns000d0;hto000d0;rre150d0
593;19720101000000;PON;;;0.0
593;19720102000000;PON;;;5.4
593;19720103000000;PON;;;8.5
593;19720104000000;PON;;;0.0
593;19720105000000;PON;;;0.0
593;19720106000000;PON;;;0.0
593;19720107000000;PON;;;0.0
593;19720108000000;PON;;;0.0
593;19720109000000;PON;;;0.0
593;19720110000000;PON;;;0.0
593;19720111000000;PON;;;0.0
593;19720112000000;PON;;;0.0
593;19720113000000;PON;;;0.0
593;19720114000000;PON;;;0.0
593;19720115000000;PON;;;0.0
593;19720116000000;PON;;;0.6
593;19720117000000;PON;;;0.0
593;19720118000000;PON;;;0.0
593;19720119000000;PON;;;0.0
593;19720120000000;PON;;;0.0
593;19720121000000;PON;;;0.0
593;19720122000000;PON;;;0.0
593;19720123000000;PON;;;0.0
593;19720124000000;PON;;;0.2
593;19720125000000;PON;;;0.6
593;19720126000000;PON;;;0.2
593;19720127000000;PON;;;6.7
593;19720128000000;PON;;;2.7
593;19720129000000;PON;;;0.0
593;19720130000000;PON;;;0.5
593;19720131000000;PON;;;0.5
593;19720201000000;PON;;;0.0
593;19720202000000;PON;;;0.0
593;19720203000000;PON;;;0.0
593;19720204000000;PON;;;0.5
593;19720205000000;PON;;;0.0
593;19720206000000;PON;;;0.0
593;19720207000000;PON;;;0.0
593;19720208000000;PON;;;1.5
593;19720209000000;PON;;;4.5
593;19720210000000;PON;;;5.2
593;19720211000000;PON;;;0.0
593;19720212000000;PON;;;0.0
593;19720213000000;PON;;;1.6
593;19720214000000;PON;;;0.0
593;19720215000000;PON;;;0.0
593;19720216000000;PON;;;0.0
593;19720217000000;PON;;;2.9
593;19720218000000;PON;;;2.8
593;19720219000000;PON;;;5.1
593;19720220000000;PON;;;2.1
593;19720221000000;PON;;;0.0
593;19720222000000;PON;;;0.0
593;19720223000000;PON;;;0.0
593;19720224000000;PON;;;0.0
593;19720225000000;PON;;;0.3
593;19720226000000;PON;;;0.0
593;19720227000000;PON;;;0.0
593;19720228000000;PON;;;0.0
593;19720229000000;PON;;;0.0
593;19720301000000;PON;;;2.2
593;19720302000000;PON;;;0.0
593;19720303000000;PON;;;0.0
593;19720304000000;PON;;;3.8
593;19720305000000;PON;;;1.8
593;19720306000000;PON;;;0.0
593;19720307000000;PON;;;13.5
593;19720308000000;PON;;;1.3
593;19720309000000;PON;;;7.9
593;19720310000000;PON;;;0.0
593;19720311000000;PON;;;0.9
593;19720312000000;PON;;;0.0
593;19720313000000;PON;;;0.0
593;19720314000000;PON;;;0.0
593;19720315000000;PON;;;0.0
593;19720316000000;PON;;;0.0
593;19720317000000;PON;;;0.0
593;19720318000000;PON;;;0.0
593;19720319000000;PON;;;0.0
593;19720320000000;PON;;;0.0
593;19720321000000;PON;;;0.0
593;19720322000000;PON;;;0.0
593;19720323000000;PON;;;0.0
593;19720324000000;PON;;;0.0
593;19720325000000;PON;;;0.0
593;19720326000000;PON;;;6.4
593;19720327000000;PON;;;0.0
593;19720328000000;PON;;;0.0
593;19720329000000;PON;;;0.0
593;19720330000000;PON;;;0.0
593;19720331000000;PON;;;0.0
593;19720401000000;PON;;;2.1
593;19720402000000;PON;;;0.0
593;19720403000000;PON;;;0.0
593;19720404000000;PON;;;8.6
593;19720405000000;PON;;;4.3
593;19720406000000;PON;;;0.0
593;19720407000000;PON;;;0.0
593;19720408000000;PON;;;0.0
593;19720409000000;PON;;;0.0
593;19720410000000;PON;;;0.0
593;19720411000000;PON;;;11.3
593;19720412000000;PON;;;0.0
593;19720413000000;PON;;;0.0
593;19720414000000;PON;;;0.0
593;19720415000000;PON;;;5.4
593;19720416000000;PON;;;1.6
593;19720417000000;PON;;;0.0
593;19720418000000;PON;;;1.7
593;19720419000000;PON;;;3.5
593;19720420000000;PON;;;0.0
593;19720421000000;PON;;;0.7
593;19720422000000;PON;;;0.0
593;19720423000000;PON;;;0.0
593;19720424000000;PON;;;0.0
593;19720425000000;PON;;;0.0
593;19720426000000;PON;;;0.0
593;19720427000000;PON;;;0.0
593;19720428000000;PON;;;0.0
593;19720429000000;PON;;;0.0
593;19720430000000;PON;;;0.0
593;19720501000000;PON;;;0.0
593;19720502000000;PON;;;0.0
593;19720503000000;PON;;;4.6
593;19720504000000;PON;;;0.0
593;19720505000000;PON;;;0.0
593;19720506000000;PON;;;0.0
593;19720507000000;PON;;;0.0
593;19720508000000;PON;;;0.0
593;19720509000000;PON;;;0.0
593;19720510000000;PON;;;0.0
593;19720511000000;PON;;;0.0
593;19720512000000;PON;;;2.9
593;19720513000000;PON;;;3.8
593;19720514000000;PON;;;16.8
593;19720515000000;PON;;;6.3
593;19720516000000;PON;;;4.5
593;19720517000000;PON;;;6.1
593;19720518000000;PON;;;3.8
593;19720519000000;PON;;;2.5
593;19720520000000;PON;;;0.0
593;19720521000000;PON;;;0.0
593;19720522000000;PON;;;0.0
593;19720523000000;PON;;;0.0
593;19720524000000;PON;;;6.3
593;19720525000000;PON;;;0.0
593;19720526000000;PON;;;0.0
593;19720527000000;PON;;;2.8
593;19720528000000;PON;;;0.0
593;19720529000000;PON;;;0.0
593;19720530000000;PON;;;0.0
593;19720531000000;PON;;;3.2
593;19720601000000;PON;;;0.0
593;19720602000000;PON;;;0.0
593;19720603000000;PON;;;0.0
593;19720604000000;PON;;;0.0
593;19720605000000;PON;;;0.0
593;19720606000000;PON;;;9.8
593;19720607000000;PON;;;0.0
593;19720608000000;PON;;;0.0
593;19720609000000;PON;;;4.5
593;19720610000000;PON;;;0.4
593;19720611000000;PON;;;18.1
593;19720612000000;PON;;;12.9
593;19720613000000;PON;;;0.0
593;19720614000000;PON;;;0.2
593;19720615000000;PON;;;6.8
593;19720616000000;PON;;;31.0
593;19720617000000;PON;;;0.0
593;19720618000000;PON;;;0.0
593;19720619000000;PON;;;3.5
593;19720620000000;PON;;;0.0
593;19720621000000;PON;;;0.0
593;19720622000000;PON;;;0.0
593;19720623000000;PON;;;0.0
593;19720624000000;PON;;;0.0
593;19720625000000;PON;;;0.0
593;19720626000000;PON;;;0.0
593;19720627000000;PON;;;6.3
593;19720628000000;PON;;;5.0
593;19720629000000;PON;;;21.5
593;19720630000000;PON;;;0.0
593;19720701000000;PON;;;11.5
593;19720702000000;PON;;;0.3
593;19720703000000;PON;;;0.0
593;19720704000000;PON;;;0.0
593;19720705000000;PON;;;6.7
593;19720706000000;PON;;;0.0
593;19720707000000;PON;;;0.0
593;19720708000000;PON;;;0.0
593;19720709000000;PON;;;0.0
593;19720710000000;PON;;;57.4
593;19720711000000;PON;;;9.0
593;19720712000000;PON;;;0.0
593;19720713000000;PON;;;0.0
593;19720714000000;PON;;;0.0
593;19720715000000;PON;;;0.0
593;19720716000000;PON;;;2.4
593;19720717000000;PON;;;0.0
593;19720718000000;PON;;;2.6
593;19720719000000;PON;;;0.0
593;19720720000000;PON;;;6.1
593;19720721000000;PON;;;1.1
593;19720722000000;PON;;;1.3
593;19720723000000;PON;;;8.0
593;19720724000000;PON;;;0.2
593;19720725000000;PON;;;7.0
593;19720726000000;PON;;;0.0
593;19720727000000;PON;;;6.8
593;19720728000000;PON;;;16.4
593;19720729000000;PON;;;2.9
593;19720730000000;PON;;;0.0
593;19720731000000;PON;;;0.4
593;19720801000000;PON;;;10.9
593;19720802000000;PON;;;2.5
593;19720803000000;PON;;;0.5
593;19720804000000;PON;;;0.0
593;19720805000000;PON;;;0.0
593;19720806000000;PON;;;0.0
593;19720807000000;PON;;;0.0
593;19720808000000;PON;;;0.0
593;19720809000000;PON;;;0.0
593;19720810000000;PON;;;0.0
593;19720811000000;PON;;;0.0
593;19720812000000;PON;;;0.0
593;19720813000000;PON;;;0.0
593;19720814000000;PON;;;1.7
593;19720815000000;PON;;;0.2
593;19720816000000;PON;;;11.7
593;19720817000000;PON;;;0.6
593;19720818000000;PON;;;1.3
593;19720819000000;PON;;;0.0
593;19720820000000;PON;;;0.0
593;19720821000000;PON;;;0.4
593;19720822000000;PON;;;0.0
593;19720823000000;PON;;;0.0
593;19720824000000;PON;;;0.0
593;19720825000000;PON;;;0.0
593;19720826000000;PON;;;0.0
593;19720827000000;PON;;;3.0
593;19720828000000;PON;;;0.0
593;19720829000000;PON;;;2.5
593;19720830000000;PON;;;4.9
593;19720831000000;PON;;;7.2
593;19720901000000;PON;;;1.2
593;19720902000000;PON;;;12.5
593;19720903000000;PON;;;0.0
593;19720904000000;PON;;;0.0
593;19720905000000;PON;;;1.0
593;19720906000000;PON;;;0.0
593;19720907000000;PON;;;5.0
593;19720908000000;PON;;;0.0
593;19720909000000;PON;;;1.2
593;19720910000000;PON;;;2.2
593;19720911000000;PON;;;0.0
593;19720912000000;PON;;;0.0
593;19720913000000;PON;;;9.2
593;19720914000000;PON;;;0.5
593;19720915000000;PON;;;19.8
593;19720916000000;PON;;;0.2
593;19720917000000;PON;;;0.0
593;19720918000000;PON;;;3.4
593;19720919000000;PON;;;4.3
