Typ;Typ2;SHORT_NAME_TX;DESC_G_TX;NAME_G_TX;Art;TIME_GRANULARITY_TX;DECIMALS_NU;VALUE_RANGE_TX;DATA_TYPE_TX;SHORT_SIGN_TX;PARAMETER_ID
climate;;fh9120mv;"Windgeschwindigkeit skalar; Verhältnis des homogenen Monatsmittels zur Norm 9120";Wind;homogen;M;0;0..999;Integer;%;11912
climate;;fh9120yv;"Windgeschwindigkeit skalar; Verhältnis des homogenen Jahresmittels zur Norm 9120";Wind;homogen;Y;0;0..999;Integer;%;11913
climate;;fhs010m0;"Windgeschwindigkeit skalar; homogenes Monatsmittel";Wind;homogen;M;1;0..99.9;Float;m/s;1101
climate;;fhs010y0;"Windgeschwindigkeit skalar; homogenes Jahresmittel";Wind;homogen;Y;1;0..99.9;Float;m/s;1645
climate;;gh9120mv;"Globalstrahlung; Verhältnis des homogenen Monatsmittels zur Norm 9120";Strahlung;homogen;M;0;0..999;Integer;%;11914
climate;;gh9120yv;"Globalstrahlung; Verhältnis des homogenen Jahresmittels zur Norm 9120";Strahlung;homogen;Y;0;0..999;Integer;%;11915
climate;;ghs000m0;"Globalstrahlung; homogenes Monatsmittel";Strahlung;homogen;M;0;0..9999;Integer;W/m²;1099
climate;;ghs000y0;"Globalstrahlung; homogenes Jahresmittel";Strahlung;homogen;Y;0;0..9999;Integer;W/m²;1644
climate;;ph9120mv;"Luftdruck auf Barometerhöhe (QFE); Abweichung des homogenen Monatsmittels von der Norm 9120";Druck;homogen;M;1;-100.0..100.0;Float;hPa;11918
climate;;ph9120yv;"Luftdruck auf Barometerhöhe (QFE); Abweichung des homogenen Jahresmittels von der Norm 9120";Druck;homogen;Y;1;-100.0..100.0;Float;hPa;11919
climate;;phsstam0;"Luftdruck auf Barometerhöhe (QFE); homogenes Monatsmittel";Druck;homogen;M;1;0..1500.0;Float;hPa;1091
climate;;phsstay0;"Luftdruck auf Barometerhöhe (QFE); homogenes Jahresmittel";Druck;homogen;Y;1;0..1500.0;Float;hPa;1636
climate;;pv9120mv;"Dampfdruck 2 m über Boden; Abweichung des homogenen Monatsmittels von der Norm 9120";Feuchte;homogen;M;1;-999.9..999.9;Float;hPa;11920
climate;;pv9120yv;"Dampfdruck 2 m über Boden; Abweichung des homogenen Jahresmittels von der Norm 9120";Feuchte;homogen;Y;1;-999.9..999.9;Float;hPa;11921
climate;;pva2hsm0;"Dampfdruck 2 m über Boden; homogenes Monatsmittel";Feuchte;homogen;M;1;0..100.0;Float;hPa;1107
climate;;pva2hsy0;"Dampfdruck 2 m über Boden; homogenes Jahresmittel";Feuchte;homogen;Y;1;0..100.0;Float;hPa;1648
climate;;rh9120mv;"Niederschlag; Verhältnis der homogenen Monatssumme konventionell zur Norm 9120";Niederschlag;homogen;M;0;0..999;Integer;%;11922
climate;;rh9120yv;"Niederschlag; Verhältnis der homogenen Jahressumme konventionell zur Norm 9120";Niederschlag;homogen;Y;0;0..999;Integer;%;11923
climate;;rhs150m0;"Niederschlag; homogene Monatssumme";Niederschlag;homogen;M;1;0..9999.9;Float;mm;1804
climate;;rhs150y0;"Niederschlag; homogene Jahressumme";Niederschlag;homogen;Y;1;0..9999.9;Float;mm;1635
climate;;sh9120mv;"Absolute Sonnenscheindauer; Verhältnis der homogenen Monatssumme zur Norm 9120";Sonne;homogen;M;0;0..999;Integer;%;11924
climate;;sh9120yv;"Absolute Sonnenscheindauer; Verhältnis der homogenen Jahressumme zur Norm 9120";Sonne;homogen;Y;0;0..999;Integer;%;11925
climate;;shs000m0;"absolute Sonnenscheindauer; homogene Monatssumme";Sonne;homogen;M;0;0..99999;Integer;min;1097
climate;;shs000y0;"absolute Sonnenscheindauer; homogene Jahressumme";Sonne;homogen;Y;0;0..999999;Integer;min;1639
climate;;th9120dv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Tagesmittels (statistisch abgeleitet) von der Norm 9120";Temperatur;homogen;D;1;-99.9..99.9;Float;°C;11926
climate;;th9120mv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Monatsmittels von der Norm 9120";Temperatur;homogen;M;1;-99.9..99.9;Float;°C;11927
climate;;th9120yv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Jahresmittels von der Norm 9120";Temperatur;homogen;Y;1;-99.9..99.9;Float;°C;11928
climate;;th91dndv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Tagesminimum (statistisch abgeleitet) von der Norm 9120";Temperatur;homogen;D;1;-99.9..99.9;Float;°C;11930
climate;;th91dnmv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Monatsmittels der Tagesminima von der Norm 9120";Temperatur;homogen;M;1;-99.9..99.9;Float;°C;11929
climate;;th91dnyv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Jahresmittels der Tagesminima von der Norm 9120";Temperatur;homogen;Y;1;-99.9..99.9;Float;°C;11931
climate;;th91dxdv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Tagesmaximum (statistisch abgeleitet) von der Norm 9120";Temperatur;homogen;D;1;-99.9..99.9;Float;°C;11933
climate;;th91dxmv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Monatsmittels der Tagesmaxima von der Norm 9120";Temperatur;homogen;M;1;-99.9..99.9;Float;°C;11932
climate;;th91dxyv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Jahresmittels der Tagesmaxima von der Norm 9120";Temperatur;homogen;Y;1;-99.9..99.9;Float;°C;11934
climate;;ths200d0;"Lufttemperatur 2 m über Boden; homogenes Tagesmittel (statistisch abgeleitet)";Temperatur;homogen;D;1;-99.9..99.9;Float;°C;1801
climate;;ths200dn;"Lufttemperatur 2 m über Boden; homogenes Tagesminimum (statistisch abgeleitet)";Temperatur;homogen;D;1;-99.9..99.9;Float;°C;1092
climate;;ths200dx;"Lufttemperatur 2 m über Boden; homogenes Tagesmaximum (statistisch abgeleitet)";Temperatur;homogen;D;1;-99.9..99.9;Float;°C;1094
climate;;ths200m0;"Lufttemperatur 2 m über Boden; homogenes Monatsmittel";Temperatur;homogen;M;1;-99.9..99.9;Float;°C;1802
climate;;ths200y0;"Lufttemperatur 2 m über Boden; homogenes Jahresmittel";Temperatur;homogen;Y;1;-99.9..99.9;Float;°C;1634
climate;;ths2dymn;"Lufttemperatur 2 m über Boden; homogenes Monatsmittel der Tagesminima";Temperatur;homogen;M;1;-99.9..99.9;Float;°C;1093
climate;;ths2dymx;"Lufttemperatur 2 m über Boden; homogenes Monatsmittel der Tagesmaxima";Temperatur;homogen;M;1;-99.9..99.9;Float;°C;1095
climate;;ths2dyyn;"Lufttemperatur 2 m über Boden; homogenes Jahresmittel der Tagesminima";Temperatur;homogen;Y;1;-99.9..99.9;Float;°C;1637
climate;;ths2dyyx;"Lufttemperatur 2 m über Boden; homogenes Jahresmittel der Tagesmaxima";Temperatur;homogen;Y;1;-99.9..99.9;Float;°C;1638
nime;;hns000d0;"Neuschneehöhe; Tagessumme 6 UTC - 6 UTC Folgetag";Schnee;aggregat;D;0;0..500;Integer;cm;579
nime;;hto000d0;"Schneehöhe; Morgenmessung von 6 UTC";Schnee;aggregat;D;0;0..1000;Integer;cm;580
nime;;hns000m0;"Neuschneehöhe; Monatssumme der täglichen Messungen";Schnee;aggregat;M;0;0..1000;Integer;cm;442
nime;;hto000m0;"Schneehöhe; Monatsmittel";Schnee;aggregat;M;0;0..1000;Integer;cm;938
nime;;hns000sw;SYNOP: Neuschneehöhe;Schnee;originalwert;T;0;0..500;Integer;cm;1758
nime;;hto000sw;SYNOP: Schneehöhe;Schnee;originalwert;T;0;0..1000;Integer;cm;1759
nime;;hns000l0;"Neuschneehöhe; Summe August - Juli";Schnee;aggregat;Y;0;0..9999;Integer;cm;1948
nime;;hns000y0;"Neuschneehöhe; Jahressumme der täglichen Messungen";Schnee;aggregat;Y;0;0..9999;Integer;cm;555
nime;;hto000l0;"Schneehöhe; Jahresmittel vom August - Juli";Schnee;aggregat;Y;0;0..10000;Integer;cm;4658
nime;;hto000y0;"Schneehöhe; Jahresmittel";Schnee;aggregat;Y;0;0..1000;Integer;cm;939
obs;;cc1000s0;Gattung der untersten Wolken;Augenbeobachtung;originalwert;T;0;0..9;Integer;Code;127
obs;;ccl000s0;Wolken der Gattungen Sc, St, Cu, Cb  (WMO 0513);Augenbeobachtung;originalwert;T;0;0..10;Integer;Code;130
obs;;nto000d0;"Gesamtbewölkung; Tagesmittel";Augenbeobachtung;aggregat;D;0;0..100;Integer;%;229
obs;;nto000m0;"Gesamtbewölkung; Monatsmittel";Augenbeobachtung;aggregat;M;0;0..100;Integer;%;303
obs;;nto000s0;Gesamtbewölkung;Augenbeobachtung;originalwert;T;0;0..9;Integer;octas;119
obs;;nto000y0;"Gesamtbewölkung; Jahresmittel";Augenbeobachtung;aggregat;Y;0;0..100;Integer;%;493
obs;;vho000s0;Horizontale Sichtweite;Augenbeobachtung;originalwert;T;0;0..99;Integer;Code;144
obs;;wat000s0;Wetter zur Zeit der Beobachtung (WMO 4677);Augenbeobachtung;originalwert;T;0;0..99;Integer;Code;145
pollen;;kaalnuh0;"Erle; mittlere stündliche Pollenkonzentration";Pollendaten;aggregat;H;0;0..10000;Integer;No/m³;6086
pollen;;kabetuh0;"Birke; mittlere stündliche Pollenkonzentration";Pollendaten;aggregat;H;0;0..10000;Integer;No/m³;5993
pollen;;kacoryh0;"Hasel; mittlere stündliche Pollenkonzentration";Pollendaten;aggregat;H;0;0..10000;Integer;No/m³;6096
pollen;;kafaguh0;"Buche; mittlere stündliche Pollenkonzentration";Pollendaten;aggregat;H;0;0..10000;Integer;No/m³;6099
