SHORT_NAME_TX;DESC_G_TX;NAME_G_TX;Art;TIME_GRANULARITY_TX;DECIMALS_NU;VALUE_RANGE_TX;DATA_TYPE_TX;SHORT_SIGN_TX;PARAMETER_ID
dkl010z0;"Windrichtung; Zehnminutenmittel";Wind;originalwert;T;0;0..360;Integer;°;197
fkl010z0;"Windgeschwindigkeit skalar; Zehnminutenmittel";Wind;originalwert;T;1;0..99.9;Float;m/s;196
fkl010z1;"Böenspitze (Sekundenböe); Maximum";Wind;originalwert;T;1;0..999.9;Float;m/s;101
fu3010z0;"Windgeschwindigkeit; Zehnminutenmittel";Wind;aggregat;T;1;0..999.9;Float;km/h;1083
fu3010z1;"Böenspitze (Sekundenböe); Maximum";Wind;aggregat;T;1;0..999.9;Float;km/h;1938
fve010z0;"Windgeschwindigkeit vektoriell; Zehnminutenmittel";Wind;originalwert;T;1;0..99.9;Float;m/s;195
gre000z0;"Globalstrahlung; Zehnminutenmittel";Strahlung;originalwert;T;0;-9999..9999;Integer;W/m²;96
oli000z0;"Langwellige Einstrahlung; Zehnminutenmittel";Strahlung;originalwert;T;0;0..999;Integer;W/m²;175
pp0qffs0;"Luftdruck reduziert auf Meeresniveau (QFF); Momentanwert";Druck;originalwert;T;1;0..1500.0;Float;hPa;968
pp0qnhs0;"Luftdruck reduziert auf Meeresniveau mit Standardatmosphäre (QNH); Momentanwert";Druck;originalwert;T;1;0..1500.0;Float;hPa;967
ppz700s0;"Geopotentielle Höhe der 700 hPa-Fläche; Momentanwert";Druck;originalwert;T;1;0..10000.0;Float;gpm;970
ppz850s0;"Geopotentielle Höhe der 850 hPa-Fläche; Momentanwert";Druck;originalwert;T;1;0..10000.0;Float;gpm;969
prestas0;"Luftdruck auf Barometerhöhe (QFE); Momentanwert";Druck;originalwert;T;1;0..1500.0;Float;hPa;90
pva200s0;"Dampfdruck 2 m über Boden; Momentanwert";Feuchte;originalwert;T;1;0..100.0;Float;hPa;971
rre150z0;"Niederschlag; Zehnminutensumme";Niederschlag;originalwert;T;1;0..999.9;Float;mm;93
sre000z0;"Sonnenscheindauer; Zehnminutensumme";Sonne;originalwert;T;0;0..10;Integer;min;94
tde200s0;"Taupunkt 2 m über Boden; Momentanwert";Feuchte;originalwert;T;1;-99.9..99.9;Float;°C;194
tre005s0;"Lufttemperatur 5 cm über Gras; Momentanwert";Temperatur;originalwert;T;1;-99.9..99.9;Float;°C;92
tre200s0;"Lufttemperatur 2 m über Boden; Momentanwert";Temperatur;originalwert;T;1;-99.9..99.9;Float;°C;91
ure200s0;"Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert";Feuchte;originalwert;T;1;0..999.9;Float;%;98
wcc006s0;Föhnindex;Wind;aggregat;T;0;0..2;Integer;Code;741
