station;termin;nat_abbr;hns000d0;hto000d0;rre150d0
593;20230101000000;PON;0;15;0.0
593;20230102000000;PON;0;15;0.0
593;20230103000000;PON;0;15;0.4
593;20230104000000;PON;0;15;0.0
593;20230105000000;PON;0;12;0.0
593;20230106000000;PON;0;10;0.0
593;20230107000000;PON;0;10;0.0
593;20230108000000;PON;9;10;9.0
593;20230109000000;PON;8;19;6.0
593;20230110000000;PON;0;27;0.0
593;20230111000000;PON;0;25;0.0
593;20230112000000;PON;0;25;0.0
593;20230113000000;PON;0;24;0.0
593;20230114000000;PON;0;23;0.0
593;20230115000000;PON;3;22;2.5
593;20230116000000;PON;2;25;1.5
593;20230117000000;PON;3;27;2.5
593;20230118000000;PON;0;30;0.0
593;20230119000000;PON;0;25;0.0
593;20230120000000;PON;0;25;0.0
593;20230121000000;PON;0;25;0.0
593;20230122000000;PON;0;25;0.0
593;20230123000000;PON;0;25;0.3
593;20230124000000;PON;0;25;0.0
593;20230125000000;PON;0;25;0.0
593;20230126000000;PON;0;25;0.0
593;20230127000000;PON;0;24;0.0
593;20230128000000;PON;0;23;0.0
593;20230129000000;PON;0;23;0.0
593;20230130000000;PON;0;20;0.0
593;20230131000000;PON;0;20;0.0
593;20230201000000;PON;0;20;0.0
593;20230202000000;PON;0;20;0.0
593;20230203000000;PON;2;20;1.4
593;20230204000000;PON;0;22;0.0
593;20230205000000;PON;0;22;0.0
593;20230206000000;PON;0;22;0.0
593;20230207000000;PON;0;22;0.0
593;20230208000000;PON;0;22;0.0
593;20230209000000;PON;0;20;0.0
593;20230210000000;PON;0;19;0.0
593;20230211000000;PON;0;19;0.0
593;20230212000000;PON;0;18;0.0
593;20230213000000;PON;0;18;0.0
593;20230214000000;PON;0;18;0.0
593;20230215000000;PON;0;16;0.0
593;20230216000000;PON;0;15;0.0
593;20230217000000;PON;0;14;0.0
593;20230218000000;PON;0;12;0.0
593;20230219000000;PON;0;10;0.0
593;20230220000000;PON;0;10;0.0
593;20230221000000;PON;0;10;0.0
593;20230222000000;PON;0;9;0.0
593;20230223000000;PON;0;8;0.0
593;20230224000000;PON;0;6;0.0
593;20230225000000;PON;0;6;0.0
593;20230226000000;PON;0;6;0.1
593;20230227000000;PON;0;6;0.2
593;20230228000000;PON;0;6;0.0
593;20230301000000;PON;0;3;0.0
593;20230302000000;PON;0;2;0.0
593;20230303000000;PON;0;0;0.0
593;20230304000000;PON;0;0;0.0
593;20230305000000;PON;0;0;0.0
593;20230306000000;PON;0;0;0.0
593;20230307000000;PON;0;0;0.0
593;20230308000000;PON;0;0;0.2
593;20230309000000;PON;0;0;0.0
593;20230310000000;PON;1;0;2.0
593;20230311000000;PON;0;1;0.0
593;20230312000000;PON;0;0;0.0
593;20230313000000;PON;8;0;28.4
593;20230314000000;PON;1;8;5.7
593;20230315000000;PON;0;1;0.0
593;20230316000000;PON;0;0;0.0
593;20230317000000;PON;0;0;0.0
593;20230318000000;PON;0;0;0.0
593;20230319000000;PON;0;0;0.2
593;20230320000000;PON;0;0;0.0
593;20230321000000;PON;0;0;0.0
593;20230322000000;PON;0;0;0.0
593;20230323000000;PON;0;0;0.0
593;20230324000000;PON;0;0;1.1
593;20230325000000;PON;0;0;0.0
593;20230326000000;PON;7;0;3.6
593;20230327000000;PON;1;7;0.9
593;20230328000000;PON;4;3;2.1
593;20230329000000;PON;0;7;1.2
593;20230330000000;PON;0;0;0.2
593;20230331000000;PON;0;0;1.1
593;20230401000000;PON;0;0;0.0
593;20230402000000;PON;0;0;0.0
593;20230403000000;PON;0;0;0.0
593;20230404000000;PON;0;0;0.0
593;20230405000000;PON;0;0;0.0
593;20230406000000;PON;0;0;0.0
593;20230407000000;PON;0;0;0.5
593;20230408000000;PON;0;0;0.0
593;20230409000000;PON;0;0;0.0
593;20230410000000;PON;0;0;0.0
593;20230411000000;PON;0;0;0.0
593;20230412000000;PON;16;0;10.9
593;20230413000000;PON;6;16;4.9
593;20230414000000;PON;0;15;0.0
593;20230415000000;PON;2;6;2.0
593;20230416000000;PON;0;2;0.0
593;20230417000000;PON;0;0;0.0
593;20230418000000;PON;0;0;0.0
593;20230419000000;PON;0;0;0.0
593;20230420000000;PON;12;0;14.6
593;20230421000000;PON;0;12;1.2
593;20230422000000;PON;0;0;0.1
593;20230423000000;PON;6;0;12.3
593;20230424000000;PON;0;6;0.0
593;20230425000000;PON;0;0;0.0
593;20230426000000;PON;0;0;0.0
593;20230427000000;PON;0;0;0.0
593;20230428000000;PON;0;0;1.7
593;20230429000000;PON;0;0;0.0
593;20230430000000;PON;0;0;2.4
593;20230501000000;PON;3;0;17.3
593;20230502000000;PON;0;3;0.0
593;20230503000000;PON;0;0;0.0
593;20230504000000;PON;0;0;0.0
593;20230505000000;PON;0;0;0.0
593;20230506000000;PON;0;0;10.2
593;20230507000000;PON;0;0;8.1
593;20230508000000;PON;0;0;0.0
593;20230509000000;PON;0;0;14.5
593;20230510000000;PON;1;0;9.5
593;20230511000000;PON;0;1;0.2
593;20230512000000;PON;0;0;3.0
593;20230513000000;PON;0;0;0.4
593;20230514000000;PON;0;0;0.6
593;20230515000000;PON;0;0;0.0
593;20230516000000;PON;0;0;1.1
593;20230517000000;PON;0;0;0.0
593;20230518000000;PON;0;0;0.1
593;20230519000000;PON;0;0;1.4
593;20230520000000;PON;0;0;0.5
593;20230521000000;PON;0;0;0.0
593;20230522000000;PON;0;0;0.0
593;20230523000000;PON;0;0;0.0
593;20230524000000;PON;0;0;17.3
593;20230525000000;PON;0;0;0.0
593;20230526000000;PON;0;0;0.0
593;20230527000000;PON;0;0;0.0
593;20230528000000;PON;0;0;0.0
593;20230529000000;PON;0;0;0.0
593;20230530000000;PON;0;0;0.0
593;20230531000000;PON;0;0;0.0
593;20230601000000;PON;0;0;0.8
593;20230602000000;PON;0;0;0.9
593;20230603000000;PON;0;0;6.5
593;20230604000000;PON;0;0;6.5
593;20230605000000;PON;0;0;8.3
593;20230606000000;PON;0;0;0.0
593;20230607000000;PON;0;0;0.6
593;20230608000000;PON;0;0;1.6
593;20230609000000;PON;0;0;0.0
593;20230610000000;PON;0;0;8.6
593;20230611000000;PON;0;0;0.0
593;20230612000000;PON;0;0;0.0
593;20230613000000;PON;0;0;0.0
593;20230614000000;PON;0;0;0.0
593;20230615000000;PON;0;0;0.0
593;20230616000000;PON;0;0;0.2
593;20230617000000;PON;0;0;0.0
593;20230618000000;PON;0;0;0.0
593;20230619000000;PON;0;0;0.6
593;20230620000000;PON;0;0;0.3
593;20230621000000;PON;0;0;0.0
593;20230622000000;PON;0;0;7.5
593;20230623000000;PON;0;0;0.0
593;20230624000000;PON;0;0;0.0
593;20230625000000;PON;0;0;0.0
593;20230626000000;PON;0;0;0.0
593;20230627000000;PON;0;0;0.0
593;20230628000000;PON;0;0;0.0
593;20230629000000;PON;0;0;4.3
593;20230630000000;PON;0;0;5.1
593;20230701000000;PON;0;0;0.4
593;20230702000000;PON;0;0;0.0
593;20230703000000;PON;0;0;3.5
593;20230704000000;PON;0;0;0.0
593;20230705000000;PON;0;0;3.0
593;20230706000000;PON;;0;
