station;termin;nat_abbr;hns000m0;hto000m0;rre150m0
593;19100101000000;PON;;;56.0
593;19100201000000;PON;;;42.0
593;19100301000000;PON;;;38.0
593;19100401000000;PON;;;77.0
593;19100501000000;PON;;;77.0
593;19100601000000;PON;;;110.0
593;19100701000000;PON;;;126.0
593;19100801000000;PON;;;116.0
593;19100901000000;PON;;;32.0
593;19101001000000;PON;;;70.0
593;19101101000000;PON;;;59.0
593;19101201000000;PON;;;71.0
593;19110101000000;PON;;;8.0
593;19110201000000;PON;;;25.0
593;19110301000000;PON;;;65.0
593;19110401000000;PON;;;38.0
593;19110501000000;PON;;;44.0
593;19110601000000;PON;;;123.0
593;19110701000000;PON;;;23.0
593;19110801000000;PON;;;122.0
593;19110901000000;PON;;;82.0
593;19111001000000;PON;;;169.0
593;19111101000000;PON;;;110.0
593;19111201000000;PON;;;94.0
593;19120101000000;PON;;;37.0
593;19120201000000;PON;;;25.0
593;19120301000000;PON;;;73.0
593;19120401000000;PON;;;23.0
593;19120501000000;PON;;;58.0
593;19120601000000;PON;;;81.0
593;19120701000000;PON;;;136.0
593;19120801000000;PON;;;162.0
593;19120901000000;PON;;;14.0
593;19121001000000;PON;;;118.0
593;19121101000000;PON;;;30.0
593;19121201000000;PON;;;7.0
593;19130101000000;PON;;;28.0
593;19130201000000;PON;;;8.0
593;19130301000000;PON;;;50.0
593;19130401000000;PON;;;78.0
593;19130501000000;PON;;;65.0
593;19130601000000;PON;;;83.0
593;19130701000000;PON;;;94.0
593;19130801000000;PON;;;96.0
593;19130901000000;PON;;;90.0
593;19131001000000;PON;;;95.0
593;19131101000000;PON;;;98.0
593;19131201000000;PON;;;23.0
593;19140101000000;PON;;;43.0
593;19140201000000;PON;;;54.0
593;19140301000000;PON;;;52.0
593;19140401000000;PON;;;51.0
593;19140501000000;PON;;;79.0
593;19140601000000;PON;;;44.0
593;19140701000000;PON;;;121.0
593;19140801000000;PON;;;129.0
593;19140901000000;PON;;;16.0
593;19141001000000;PON;;;126.0
593;19141101000000;PON;;;36.0
593;19141201000000;PON;;;69.0
593;19150101000000;PON;;;63.0
593;19150201000000;PON;;;71.0
593;19150301000000;PON;;;31.0
593;19150401000000;PON;;;36.0
593;19150501000000;PON;;;57.0
593;19150601000000;PON;;;54.0
593;19150701000000;PON;;;103.0
593;19150801000000;PON;;;50.0
593;19150901000000;PON;;;101.0
593;19151001000000;PON;;;5.0
593;19151101000000;PON;;;51.0
593;19151201000000;PON;;;69.0
593;19160101000000;PON;;;21.0
593;19160201000000;PON;;;81.0
593;19160301000000;PON;;;157.0
593;19160401000000;PON;;;47.0
593;19160501000000;PON;;;72.0
593;19160601000000;PON;;;166.0
593;19160701000000;PON;;;74.0
593;19160801000000;PON;;;108.0
593;19160901000000;PON;;;95.0
593;19161001000000;PON;;;64.0
593;19161101000000;PON;;;153.0
593;19161201000000;PON;;;148.0
593;19170101000000;PON;;;94.0
593;19170201000000;PON;;;4.0
593;19170301000000;PON;;;51.0
593;19170401000000;PON;;;85.0
593;19170501000000;PON;;;104.0
593;19170601000000;PON;;;34.0
593;19170701000000;PON;;;119.0
593;19170801000000;PON;;;164.0
593;19170901000000;PON;;;22.0
593;19171001000000;PON;;;189.0
593;19171101000000;PON;;;23.0
593;19171201000000;PON;;;28.0
593;19180101000000;PON;;;16.0
593;19180201000000;PON;;;10.0
593;19180301000000;PON;;;69.0
593;19180401000000;PON;;;36.0
593;19180501000000;PON;;;12.0
593;19180601000000;PON;;;87.0
593;19180701000000;PON;;;36.0
593;19180801000000;PON;;;55.0
593;19180901000000;PON;;;173.0
593;19181001000000;PON;;;88.0
593;19181101000000;PON;;;8.0
593;19181201000000;PON;;;112.0
593;19190101000000;PON;;;98.0
593;19190201000000;PON;;;29.0
593;19190301000000;PON;;;52.0
593;19190401000000;PON;;;132.0
593;19190501000000;PON;;;3.0
593;19190601000000;PON;;;72.0
593;19190701000000;PON;;;116.0
593;19190801000000;PON;;;46.0
593;19190901000000;PON;;;59.0
593;19191001000000;PON;;;72.0
593;19191101000000;PON;;;131.0
593;19191201000000;PON;;;69.0
593;19200101000000;PON;;;82.0
593;19200201000000;PON;;;6.0
593;19200301000000;PON;;;136.0
593;19200401000000;PON;;;132.0
593;19200501000000;PON;;;107.0
593;19200601000000;PON;;;51.0
593;19200701000000;PON;;;130.0
593;19200801000000;PON;;;88.0
593;19200901000000;PON;;;183.0
593;19201001000000;PON;;;16.0
593;19201101000000;PON;;;15.0
593;19201201000000;PON;;;41.0
593;19210101000000;PON;;;69.0
593;19210201000000;PON;;;6.0
593;19210301000000;PON;;;6.0
593;19210401000000;PON;;;32.0
593;19210501000000;PON;;;66.0
593;19210601000000;PON;;;50.0
593;19210701000000;PON;;;46.0
593;19210801000000;PON;;;61.0
593;19210901000000;PON;;;38.0
593;19211001000000;PON;;;10.0
593;19211101000000;PON;;;31.0
593;19211201000000;PON;;;4.0
593;19220101000000;PON;;;81.0
593;19220201000000;PON;;;15.0
593;19220301000000;PON;;;98.0
593;19220401000000;PON;;;91.0
593;19220501000000;PON;;;45.0
593;19220601000000;PON;;;77.0
593;19220701000000;PON;;;105.0
593;19220801000000;PON;;;123.0
593;19220901000000;PON;;;153.0
593;19221001000000;PON;;;91.0
593;19221101000000;PON;;;18.0
593;19221201000000;PON;;;107.0
593;19230101000000;PON;;;18.0
593;19230201000000;PON;;;14.0
593;19230301000000;PON;;;26.0
593;19230401000000;PON;;;73.0
593;19230501000000;PON;;;91.0
593;19230601000000;PON;;;70.0
593;19230701000000;PON;;;61.0
593;19230801000000;PON;;;83.0
593;19230901000000;PON;;;78.0
593;19231001000000;PON;;;133.0
593;19231101000000;PON;;;86.0
593;19231201000000;PON;;;80.0
593;19240101000000;PON;;;24.0
593;19240201000000;PON;;;21.0
593;19240301000000;PON;;;21.0
593;19240401000000;PON;;;38.0
593;19240501000000;PON;;;105.0
593;19240601000000;PON;;;127.0
593;19240701000000;PON;;;89.0
593;19240801000000;PON;;;142.0
593;19240901000000;PON;;;118.0
593;19241001000000;PON;;;67.0
593;19241101000000;PON;;;3.0
593;19241201000000;PON;;;52.0
593;19250101000000;PON;;;8.0
593;19250201000000;PON;;;107.0
593;19250301000000;PON;;;36.0
593;19250401000000;PON;;;68.0
593;19250501000000;PON;;;64.0
593;19250601000000;PON;;;21.0
593;19250701000000;PON;;;129.0
593;19250801000000;PON;;;122.0
593;19250901000000;PON;;;56.0
593;19251001000000;PON;;;36.0
593;19251101000000;PON;;;45.0
593;19251201000000;PON;;;51.0
593;19260101000000;PON;;;35.0
593;19260201000000;PON;;;61.0
593;19260301000000;PON;;;53.0
593;19260401000000;PON;;;112.0
593;19260501000000;PON;;;163.0
593;19260601000000;PON;;;113.0
593;19260701000000;PON;;;70.0
593;19260801000000;PON;;;38.0
593;19260901000000;PON;;;30.0
593;19261001000000;PON;;;190.0
593;19261101000000;PON;;;176.0
593;19261201000000;PON;;;10.0
593;19270101000000;PON;;;77.0
