station;termin;nat_abbr;kaalnud0;kaalnud1;kabetud0;kabetud1;kacoryd0;kacoryd1;kafagud0;kafagud1;kafraxd0;kafraxd1;kaquerd0;kaquerd1;khpoacd0;khpoacd1
931;19710201000000;PBS;1;;0;;0;;0;;0;;0;;0;
931;19710202000000;PBS;5;;0;;0;;0;;0;;0;;0;
931;19710203000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710204000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710205000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710206000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710207000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710208000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710209000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710210000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710211000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710212000000;PBS;5;;0;;0;;0;;0;;0;;0;
931;19710213000000;PBS;15;;0;;15;;0;;0;;0;;0;
931;19710214000000;PBS;10;;0;;5;;0;;0;;0;;0;
931;19710215000000;PBS;15;;0;;20;;0;;0;;0;;0;
931;19710216000000;PBS;15;;0;;0;;0;;0;;0;;0;
931;19710217000000;PBS;5;;0;;5;;0;;0;;0;;0;
931;19710218000000;PBS;0;;0;;20;;0;;0;;0;;0;
931;19710219000000;PBS;0;;0;;5;;0;;0;;0;;0;
931;19710220000000;PBS;2;;0;;7;;0;;0;;0;;0;
931;19710221000000;PBS;5;;0;;5;;0;;0;;0;;0;
931;19710222000000;PBS;10;;0;;30;;0;;0;;0;;0;
931;19710223000000;PBS;0;;0;;20;;0;;0;;0;;0;
931;19710224000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710225000000;PBS;5;;0;;10;;0;;0;;0;;0;
931;19710226000000;PBS;25;;0;;40;;0;;0;;0;;0;
931;19710227000000;PBS;20;;0;;0;;0;;0;;0;;0;
931;19710228000000;PBS;10;;0;;25;;0;;0;;0;;0;
931;19710301000000;PBS;9;;0;;12;;0;;0;;0;;0;
931;19710302000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710303000000;PBS;5;;0;;5;;0;;0;;0;;0;
931;19710304000000;PBS;25;;0;;25;;0;;0;;0;;0;
931;19710305000000;PBS;5;;0;;0;;0;;0;;0;;0;
931;19710306000000;PBS;5;;0;;0;;0;;0;;0;;0;
931;19710307000000;PBS;0;;0;;5;;0;;0;;0;;0;
931;19710308000000;PBS;5;;0;;5;;0;;0;;0;;0;
931;19710309000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710310000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710311000000;PBS;1;;0;;10;;0;;0;;0;;0;
931;19710312000000;PBS;5;;0;;0;;0;;0;;0;;0;
931;19710313000000;PBS;5;;0;;5;;0;;0;;0;;0;
931;19710314000000;PBS;30;;0;;20;;0;;0;;0;;0;
931;19710315000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710316000000;PBS;10;;0;;5;;0;;0;;0;;0;
931;19710317000000;PBS;30;;0;;15;;0;;0;;0;;0;
931;19710318000000;PBS;50;;0;;10;;0;;0;;0;;0;
931;19710319000000;PBS;5;;0;;15;;0;;0;;0;;0;
931;19710320000000;PBS;23;;0;;14;;0;;0;;0;;0;
931;19710321000000;PBS;15;;0;;20;;0;;0;;0;;0;
931;19710322000000;PBS;30;;0;;20;;0;;0;;0;;0;
931;19710323000000;PBS;10;;0;;0;;0;;0;;0;;0;
931;19710324000000;PBS;40;;0;;0;;0;;0;;0;;0;
931;19710325000000;PBS;45;;0;;50;;0;;0;;0;;0;
931;19710326000000;PBS;0;;0;;0;;0;;0;;0;;0;
931;19710327000000;PBS;5;;0;;0;;0;;0;;0;;0;
931;19710328000000;PBS;15;;0;;5;;0;;0;;0;;0;
931;19710329000000;PBS;5;;0;;5;;0;;0;;0;;0;
931;19710330000000;PBS;4;;0;;2;;0;;0;;0;;0;
931;19710331000000;PBS;5;;0;;5;;0;;0;;0;;0;
931;19710401000000;PBS;5;;0;;10;;0;;0;;0;;0;
931;19710402000000;PBS;10;;0;;10;;0;;0;;0;;0;
931;19710403000000;PBS;10;;0;;10;;0;;0;;0;;0;
931;19710404000000;PBS;20;;0;;25;;0;;0;;0;;0;
931;19710405000000;PBS;5;;0;;55;;0;;0;;0;;0;
931;19710406000000;PBS;10;;0;;5;;0;;0;;0;;0;
931;19710407000000;PBS;0;;40;;0;;0;;5;;0;;5;
931;19710408000000;PBS;0;;30;;5;;0;;5;;0;;0;
931;19710409000000;PBS;0;;30;;0;;0;;10;;0;;0;
931;19710410000000;PBS;6;;352;;1;;0;;88;;0;;2;
931;19710411000000;PBS;15;;380;;10;;0;;115;;0;;0;
931;19710412000000;PBS;5;;430;;0;;0;;70;;0;;0;
931;19710413000000;PBS;20;;690;;15;;0;;80;;0;;0;
931;19710414000000;PBS;10;;1010;;0;;0;;205;;5;;0;
931;19710415000000;PBS;15;;680;;0;;0;;375;;5;;0;
931;19710416000000;PBS;0;;1225;;0;;0;;440;;0;;0;
931;19710417000000;PBS;5;;985;;0;;0;;325;;0;;0;
931;19710418000000;PBS;0;;105;;0;;0;;55;;0;;10;
931;19710419000000;PBS;0;;145;;5;;0;;145;;0;;5;
931;19710420000000;PBS;3;;323;;2;;16;;157;;48;;0;
931;19710421000000;PBS;0;;5;;0;;0;;20;;20;;0;
931;19710422000000;PBS;0;;20;;0;;10;;20;;105;;0;
931;19710423000000;PBS;10;;45;;0;;5;;30;;155;;5;
931;19710424000000;PBS;0;;35;;0;;0;;10;;40;;0;
931;19710425000000;PBS;0;;175;;0;;0;;135;;120;;0;
931;19710426000000;PBS;0;;150;;0;;10;;105;;125;;5;
931;19710427000000;PBS;0;;120;;0;;0;;50;;140;;0;
931;19710428000000;PBS;0;;5;;0;;0;;0;;10;;0;
931;19710429000000;PBS;0;;10;;0;;10;;5;;60;;0;
931;19710430000000;PBS;4;;24;;0;;3;;16;;104;;3;
931;19710501000000;PBS;0;;35;;0;;0;;5;;150;;0;
931;19710502000000;PBS;0;;0;;0;;0;;0;;10;;0;
931;19710503000000;PBS;0;;5;;0;;0;;0;;10;;0;
931;19710504000000;PBS;0;;5;;0;;5;;0;;30;;0;
931;19710505000000;PBS;5;;5;;0;;5;;20;;135;;0;
931;19710506000000;PBS;5;;20;;0;;35;;15;;120;;0;
