station;termin;nat_abbr;rre150z0
536;20230101000000;AIR;0.0
536;20230101001000;AIR;0.0
536;20230101002000;AIR;0.0
536;20230101003000;AIR;0.0
536;20230101004000;AIR;0.0
536;20230101005000;AIR;0.0
536;20230101010000;AIR;0.0
536;20230101011000;AIR;0.0
536;20230101012000;AIR;0.0
536;20230101013000;AIR;0.0
536;20230101014000;AIR;0.0
536;20230101015000;AIR;0.0
536;20230101020000;AIR;0.0
536;20230101021000;AIR;0.0
536;20230101022000;AIR;0.0
536;20230101023000;AIR;0.0
536;20230101024000;AIR;0.0
536;20230101025000;AIR;0.0
536;20230101030000;AIR;0.0
536;20230101031000;AIR;0.0
536;20230101032000;AIR;0.0
536;20230101033000;AIR;0.0
536;20230101034000;AIR;0.0
536;20230101035000;AIR;0.0
536;20230101040000;AIR;0.0
536;20230101041000;AIR;0.0
536;20230101042000;AIR;0.0
536;20230101043000;AIR;0.0
536;20230101044000;AIR;0.0
536;20230101045000;AIR;0.0
536;20230101050000;AIR;0.0
536;20230101051000;AIR;0.0
536;20230101052000;AIR;0.0
536;20230101053000;AIR;0.0
536;20230101054000;AIR;0.0
536;20230101055000;AIR;0.0
536;20230101060000;AIR;0.1
536;20230101061000;AIR;0.0
536;20230101062000;AIR;0.0
536;20230101063000;AIR;0.0
536;20230101064000;AIR;0.0
536;20230101065000;AIR;0.0
536;20230101070000;AIR;0.0
536;20230101071000;AIR;0.0
536;20230101072000;AIR;0.0
536;20230101073000;AIR;0.0
536;20230101074000;AIR;0.0
536;20230101075000;AIR;0.0
536;20230101080000;AIR;0.1
536;20230101081000;AIR;0.0
536;20230101082000;AIR;0.0
536;20230101083000;AIR;0.0
536;20230101084000;AIR;0.0
536;20230101085000;AIR;0.0
536;20230101090000;AIR;0.0
536;20230101091000;AIR;0.0
536;20230101092000;AIR;0.0
536;20230101093000;AIR;0.0
536;20230101094000;AIR;0.0
536;20230101095000;AIR;0.0
536;20230101100000;AIR;0.0
536;20230101101000;AIR;0.0
536;20230101102000;AIR;0.0
536;20230101103000;AIR;0.0
536;20230101104000;AIR;0.0
536;20230101105000;AIR;0.0
536;20230101110000;AIR;0.0
536;20230101111000;AIR;0.0
536;20230101112000;AIR;0.0
536;20230101113000;AIR;0.0
536;20230101114000;AIR;0.0
536;20230101115000;AIR;0.0
536;20230101120000;AIR;0.0
536;20230101121000;AIR;0.0
536;20230101122000;AIR;0.0
536;20230101123000;AIR;0.0
536;20230101124000;AIR;0.0
536;20230101125000;AIR;0.0
536;20230101130000;AIR;0.0
536;20230101131000;AIR;0.0
536;20230101132000;AIR;0.0
536;20230101133000;AIR;0.0
536;20230101134000;AIR;0.0
536;20230101135000;AIR;0.0
536;20230101140000;AIR;0.0
536;20230101141000;AIR;0.0
536;20230101142000;AIR;0.0
536;20230101143000;AIR;0.0
536;20230101144000;AIR;0.0
536;20230101145000;AIR;0.0
536;20230101150000;AIR;0.1
536;20230101151000;AIR;0.0
536;20230101152000;AIR;0.0
536;20230101153000;AIR;0.0
536;20230101154000;AIR;0.0
536;20230101155000;AIR;0.0
536;20230101160000;AIR;0.0
536;20230101161000;AIR;0.0
536;20230101162000;AIR;0.0
536;20230101163000;AIR;0.0
536;20230101164000;AIR;0.0
536;20230101165000;AIR;0.0
536;20230101170000;AIR;0.0
536;20230101171000;AIR;0.0
536;20230101172000;AIR;0.0
536;20230101173000;AIR;0.0
536;20230101174000;AIR;0.0
536;20230101175000;AIR;0.0
536;20230101180000;AIR;0.0
536;20230101181000;AIR;0.0
536;20230101182000;AIR;0.0
536;20230101183000;AIR;0.0
536;20230101184000;AIR;0.0
536;20230101185000;AIR;0.0
536;20230101190000;AIR;0.0
536;20230101191000;AIR;0.0
536;20230101192000;AIR;0.0
536;20230101193000;AIR;0.0
536;20230101194000;AIR;0.0
536;20230101195000;AIR;0.0
536;20230101200000;AIR;0.0
536;20230101201000;AIR;0.1
536;20230101202000;AIR;0.0
536;20230101203000;AIR;0.0
536;20230101204000;AIR;0.0
536;20230101205000;AIR;0.1
536;20230101210000;AIR;0.1
536;20230101211000;AIR;0.0
536;20230101212000;AIR;0.1
536;20230101213000;AIR;0.1
536;20230101214000;AIR;0.1
536;20230101215000;AIR;0.2
536;20230101220000;AIR;0.1
536;20230101221000;AIR;0.0
536;20230101222000;AIR;0.0
536;20230101223000;AIR;0.1
536;20230101224000;AIR;0.1
536;20230101225000;AIR;0.1
536;20230101230000;AIR;0.1
536;20230101231000;AIR;0.1
536;20230101232000;AIR;0.1
536;20230101233000;AIR;0.1
