station;termin;nat_abbr;fn1towd0;fu3towd0;fu3towd1;gre000d0;sre000d0;ta1towd0;ta1towdn;ta1towdx;uretowd0
392;19961113000000;UEB;;;;;;4.0;;;
392;20050427000000;UEB;;;;;;7.4;;;
392;20050428000000;UEB;;;;;;10.1;;;
392;20050429000000;UEB;;;;;;15.0;;;
392;20050430000000;UEB;;;;;;17.3;;;
392;20050501000000;UEB;;;;;;18.7;;;
392;20050502000000;UEB;;;;;;18.4;;;
392;20050503000000;UEB;;;;;;11.6;;;
392;20050504000000;UEB;;;;;;7.3;;;
392;20050505000000;UEB;;;;;;5.8;;;
392;20050506000000;UEB;;;;;;4.4;;;
392;20050507000000;UEB;;;;;;5.2;;;
392;20050508000000;UEB;;;;;;4.3;;;
392;20050509000000;UEB;;;;;;4.9;;;
392;20050510000000;UEB;;;;;;4.6;;;
392;20050511000000;UEB;;;;;;5.3;;;
392;20050512000000;UEB;;;;;;7.8;;;
392;20050513000000;UEB;;;;;;11.2;;;
392;20050514000000;UEB;;;;;;10.6;;;
392;20050515000000;UEB;;;;;;9.1;;;
392;20050516000000;UEB;;;;;;7.4;;;
392;20050517000000;UEB;;;;;;8.4;;;
392;20050518000000;UEB;;;;;;5.2;;;
392;20050519000000;UEB;;;;;;8.2;;;
392;20050520000000;UEB;;;;;;14.9;;;
392;20050521000000;UEB;;;;;;14.3;;;
392;20050522000000;UEB;;;;;;10.0;;;
392;20050523000000;UEB;;;;;;7.0;;;
392;20050524000000;UEB;;;;;;10.5;;;
392;20050525000000;UEB;;;;;;16.0;;;
392;20050526000000;UEB;;;;;;19.3;;;
392;20050527000000;UEB;;;;;;21.4;;;
392;20050528000000;UEB;;;;;;21.1;;;
392;20050529000000;UEB;;;;;;21.3;;;
392;20050530000000;UEB;;;;;;14.0;;;
392;20050531000000;UEB;;;;;;9.5;;;
392;20050601000000;UEB;;;;;;11.1;;;
392;20050602000000;UEB;;;;;;14.5;;;
392;20050603000000;UEB;;;;;;17.7;;;
392;20050604000000;UEB;;;;;;11.3;;;
392;20050605000000;UEB;;;;;;10.2;;;
392;20050606000000;UEB;;;;;;9.1;;;
392;20050607000000;UEB;;;;;;7.3;;;
392;20050608000000;UEB;;;;;;6.6;;;
392;20050609000000;UEB;;;;;;7.1;;;
392;20050610000000;UEB;;;;;;9.0;;;
392;20050611000000;UEB;;;;;;11.7;;;
392;20050612000000;UEB;;;;;;12.1;;;
392;20050613000000;UEB;;;;;;14.3;;;
392;20050614000000;UEB;;;;;;12.6;;;
392;20050615000000;UEB;;;;;;13.8;;;
392;20050616000000;UEB;;;;;;15.3;;;
392;20050617000000;UEB;;;;;;16.7;;;
392;20050618000000;UEB;;;;;;17.2;;;
392;20050619000000;UEB;;;;;;17.6;;;
392;20050620000000;UEB;;;;;;19.8;;;
392;20050621000000;UEB;;;;;;21.8;;;
392;20050622000000;UEB;;;;;;21.9;;;
392;20050623000000;UEB;;;;;;21.5;;;
392;20050624000000;UEB;;;;;;22.4;;;
392;20050625000000;UEB;;;;;;18.7;;;
392;20050626000000;UEB;;;;;;20.8;;;
392;20050627000000;UEB;;;;;;22.6;;;
392;20050628000000;UEB;;;;;;23.8;;;
392;20050629000000;UEB;;;;;;19.6;;;
392;20050630000000;UEB;;;;;;14.5;;;
392;20050701000000;UEB;;;;;;11.5;;;
392;20050702000000;UEB;;;;;;12.9;;;
392;20050703000000;UEB;;;;;;17.0;;;
392;20050704000000;UEB;;;;;;16.0;;;
392;20050705000000;UEB;;;;;;10.3;;;
392;20050706000000;UEB;;;;;;10.6;;;
392;20050707000000;UEB;;;;;;8.3;;;
392;20050708000000;UEB;;;;;;8.8;;;
392;20050709000000;UEB;;;;;;11.9;;;
392;20050710000000;UEB;;;;;;12.0;;;
392;20050711000000;UEB;;;;;;12.9;;;
392;20050712000000;UEB;;;;;;14.8;;;
392;20050713000000;UEB;;;;;;16.9;;;
392;20050714000000;UEB;;;;;;19.6;;;
392;20050715000000;UEB;;;;;;21.9;;;
392;20050716000000;UEB;;;;;;20.9;;;
392;20050717000000;UEB;;;;;;21.4;;;
392;20050718000000;UEB;;;;;;19.1;;;
392;20050804000000;UEB;;;;;;13.5;;;
392;20050805000000;UEB;;;;;;14.4;;;
392;20050806000000;UEB;;;;;;12.7;;;
392;20050807000000;UEB;;;;;;9.1;;;
392;20050808000000;UEB;;;;;;9.8;;;
392;20050809000000;UEB;;;;;;12.6;;;
392;20050810000000;UEB;;;;;;14.6;;;
392;20050811000000;UEB;;;;;;14.2;;;
392;20050812000000;UEB;;;;;;14.8;;;
392;20050813000000;UEB;;;;;;13.3;;;
392;20050814000000;UEB;;;;;;11.6;;;
392;20050815000000;UEB;;;;;;8.4;;;
392;20050816000000;UEB;;;;;;10.6;;;
392;20050819000000;UEB;;;;;;15.5;;;
392;20050820000000;UEB;;;;;;11.9;;;
392;20050821000000;UEB;;;;;;11.8;;;
392;20050822000000;UEB;;;;;;12.8;;;
392;20050823000000;UEB;;;;;;12.6;;;
392;20050824000000;UEB;;;;;;13.6;;;
392;20050825000000;UEB;;;;;;14.0;;;
392;20050826000000;UEB;;;;;;12.5;;;
392;20050827000000;UEB;;;;;;13.4;;;
392;20050828000000;UEB;;;;;;13.7;;;
392;20050829000000;UEB;;;;;;16.2;;;
392;20050830000000;UEB;;;;;;19.0;;;
392;20050831000000;UEB;;;;;;20.1;;;
392;20050901000000;UEB;;;;;;20.0;;;
392;20050902000000;UEB;;;;;;18.4;;;
392;20050903000000;UEB;;;;;;17.4;;;
392;20050904000000;UEB;;;;;;15.8;;;
392;20050905000000;UEB;;;;;;17.4;;;
392;20050906000000;UEB;;;;;;17.9;;;
392;20050907000000;UEB;;;;;;19.2;;;
392;20050908000000;UEB;;;;;;19.0;;;
392;20050909000000;UEB;;;;;;16.2;;;
392;20050910000000;UEB;;;;;;14.4;;;
392;20050911000000;UEB;;;;;;12.0;;;
392;20050912000000;UEB;;;;;;11.4;;;
392;20050913000000;UEB;;;;;;13.2;;;
392;20050914000000;UEB;;;;;;12.9;;;
392;20050915000000;UEB;;;;;;14.0;;;
392;20050916000000;UEB;;;;;;12.6;;;
392;20050917000000;UEB;;;;;;4.6;;;
392;20050918000000;UEB;;;;;;5.0;;;
392;20050919000000;UEB;;;;;;5.2;;;
392;20050920000000;UEB;;;;;;7.9;;;
392;20050921000000;UEB;;;;;;9.0;;;
392;20050922000000;UEB;;;;;;10.3;;;
392;20050923000000;UEB;;;;;;13.6;;;
392;20050924000000;UEB;;;;;;14.5;;;
392;20050925000000;UEB;;;;;;14.6;;;
392;20050926000000;UEB;;;;;;12.8;;;
392;20050927000000;UEB;;;;;;13.0;;;
392;20050928000000;UEB;;;;;;11.8;;;
392;20050929000000;UEB;;;;;;8.5;;;
392;20050930000000;UEB;;;;;;6.6;;;
392;20051001000000;UEB;;;;;;8.5;;;
392;20051002000000;UEB;;;;;;4.5;;;
392;20051003000000;UEB;;;;;;5.1;;;
392;20051004000000;UEB;;;;;;7.5;;;
392;20051005000000;UEB;;;;;;8.4;;;
392;20051006000000;UEB;;;;;;9.6;;;
392;20051007000000;UEB;;;;;;10.7;;;
392;20051008000000;UEB;;;;;;11.6;;;
392;20051009000000;UEB;;;;;;13.0;;;
392;20051010000000;UEB;;;;;;12.3;;;
392;20051011000000;UEB;;;;;;12.2;;;
392;20051012000000;UEB;;;;;;12.0;;;
392;20051013000000;UEB;;;;;;11.6;;;
392;20051014000000;UEB;;;;;;10.8;;;
392;20051015000000;UEB;;;;;;10.7;;;
392;20051016000000;UEB;;;;;;9.8;;;
392;20051017000000;UEB;;;;;;4.4;;;
392;20051018000000;UEB;;;;;;5.6;;;
392;20051019000000;UEB;;;;;;11.4;;;
392;20051020000000;UEB;;;;;;11.8;;;
392;20051021000000;UEB;;;;;;11.8;;;
392;20051022000000;UEB;;;;;;12.4;;;
392;20051023000000;UEB;;;;;;9.2;;;
392;20051024000000;UEB;;;;;;9.8;;;
392;20051025000000;UEB;;;;;;12.0;;;
392;20051026000000;UEB;;;;;;13.3;;;
392;20051027000000;UEB;;;;;;13.5;;;
392;20051028000000;UEB;;;;;;14.3;;;
392;20051029000000;UEB;;;;;;15.9;;;
392;20051030000000;UEB;;;;;;14.9;;;
392;20051031000000;UEB;;;;;;17.3;;;
392;20051101000000;UEB;;;;;;10.0;;;
392;20051102000000;UEB;;;;;;10.9;;;
392;20051103000000;UEB;;;;;;12.6;;;
392;20051104000000;UEB;;;;;;11.1;;;
392;20051105000000;UEB;;;;;;5.3;;;
392;20051106000000;UEB;;;;;;3.5;;;
392;20051107000000;UEB;;;;;;6.7;;;
392;20051108000000;UEB;;;;;;11.9;;;
392;20051109000000;UEB;;;;;;10.5;;;
392;20051110000000;UEB;;;;;;6.0;;;
392;20051111000000;UEB;;;;;;5.5;;;
