station;termin;nat_abbr;fn1towd0;fu3towd0;fu3towd1;gre000d0;sre000d0;ta1towd0;ta1towdn;ta1towdx;uretowd0
392;20230101000000;UEB;-5.2;30.6;82.4;75;412;11.0;9.4;13.1;62.5
392;20230102000000;UEB;-4.4;33.5;65.5;44;87;9.5;5.5;11.9;60.5
392;20230103000000;UEB;-0.7;8.3;28.8;20;0;4.4;3.1;5.7;88.8
392;20230104000000;UEB;-7.4;45.4;80.6;28;5;4.5;2.5;6.6;87.0
392;20230105000000;UEB;-5.8;39.2;77.8;25;0;6.6;5.8;7.8;93.1
392;20230106000000;UEB;-2.2;16.6;35.3;30;0;4.4;3.1;7.3;94.0
392;20230107000000;UEB;-3.6;23.8;61.2;72;292;3.9;1.7;8.7;84.4
392;20230108000000;UEB;-5.2;30.2;66.2;14;0;5.0;3.2;6.7;76.5
392;20230109000000;UEB;-7.3;49.3;80.6;30;41;0.9;-0.6;4.1;90.0
392;20230110000000;UEB;-5.0;36.0;63.0;74;191;0.3;-1.2;2.0;83.4
392;20230111000000;UEB;-7.0;46.1;73.1;15;0;3.4;1.7;5.0;83.1
392;20230112000000;UEB;-7.0;46.8;78.5;36;9;3.2;2.0;4.3;74.1
392;20230113000000;UEB;-7.4;54.0;87.5;31;41;3.2;1.5;4.7;84.8
392;20230114000000;UEB;-6.8;40.7;101.5;48;33;4.3;1.9;7.4;63.3
392;20230115000000;UEB;-6.4;49.3;88.9;13;2;2.0;-1.6;8.1;81.3
392;20230116000000;UEB;-7.4;41.4;99.4;35;37;0.2;-1.9;2.1;65.3
392;20230117000000;UEB;-3.2;29.9;60.1;22;0;-1.5;-2.9;-0.4;79.7
392;20230118000000;UEB;-1.0;24.8;69.1;41;0;-3.4;-5.4;-1.4;92.8
392;20230119000000;UEB;-2.0;19.1;32.8;99;413;-5.5;-6.4;-4.6;71.9
392;20230120000000;UEB;-0.3;13.0;20.9;81;291;-5.8;-6.9;-5.0;80.8
392;20230121000000;UEB;4.1;28.1;48.2;35;6;-6.1;-7.2;-5.4;86.0
392;20230122000000;UEB;3.6;29.2;49.0;20;0;-5.4;-6.3;-4.4;89.2
