station;termin;nat_abbr;gre000m0;sre000m0;ta1towm0;ta1towmn;ta1towmx
392;20110601000000;UEB;;;13.5;;
392;20110701000000;UEB;;;13.3;5.1;26.3
392;20110801000000;UEB;;;16.8;6.0;28.2
392;20110901000000;UEB;;;13.9;4.7;22.5
392;20111001000000;UEB;;;7.9;-2.6;17.7
392;20111101000000;UEB;;;6.6;-4.5;17.3
392;20111201000000;UEB;;;1.5;-6.0;9.8
392;20120101000000;UEB;;;-0.2;-9.2;8.4
392;20120201000000;UEB;92;5787;-5.9;-18.5;10.9
392;20120301000000;UEB;184;14640;6.5;-2.7;15.5
392;20120401000000;UEB;159;6261;5.9;-3.7;23.5
392;20120501000000;UEB;252;13243;11.5;-0.1;24.0
392;20120601000000;UEB;240;11424;14.6;4.0;27.7
392;20120701000000;UEB;224;11318;15.0;7.2;27.0
392;20120801000000;UEB;244;15386;17.3;6.2;28.6
392;20120901000000;UEB;150;9249;12.3;4.5;21.5
392;20121001000000;UEB;100;6890;8.6;-5.3;20.7
392;20121101000000;UEB;69;5778;5.1;-4.7;12.9
392;20121201000000;UEB;39;2682;0.2;-8.0;14.4
392;20130101000000;UEB;53;3141;-0.9;-9.6;10.0
392;20130201000000;UEB;60;2015;-4.2;-10.5;5.8
392;20130301000000;UEB;109;4462;0.3;-9.8;11.7
392;20130401000000;UEB;151;6037;5.8;-4.5;19.2
392;20130501000000;UEB;177;6079;7.4;-0.8;17.3
392;20130601000000;UEB;233;10887;13.1;2.7;28.8
392;20130701000000;UEB;284;17594;18.1;10.9;29.4
392;20130801000000;UEB;238;15032;16.2;8.7;27.6
392;20130901000000;UEB;159;9218;12.4;3.3;23.3
392;20131001000000;UEB;95;5639;9.7;-0.5;20.7
392;20131101000000;UEB;47;2570;1.4;-7.6;12.3
392;20131201000000;UEB;66;8920;3.0;-5.1;12.8
392;20140101000000;UEB;52;3864;2.1;-4.9;11.2
392;20140201000000;UEB;85;4915;2.2;-2.3;10.0
392;20140301000000;UEB;167;11833;5.3;-3.6;16.0
392;20140401000000;UEB;193;10447;8.1;-1.2;16.0
392;20140501000000;UEB;216;9675;9.3;0.9;21.5
392;20140601000000;UEB;295;16352;15.3;6.6;28.6
392;20140701000000;UEB;198;9325;15.2;6.4;27.3
392;20140801000000;UEB;191;8509;13.5;5.9;23.0
392;20140901000000;UEB;162;9186;13.2;4.1;20.9
392;20141001000000;UEB;108;7459;11.3;0.1;19.5
392;20141101000000;UEB;78;6316;;;
392;20141201000000;UEB;35;2483;1.1;-10.9;11.1
392;20150101000000;UEB;49;3392;0.5;-6.6;11.3
392;20150201000000;UEB;93;6594;-1.1;-8.8;8.0
392;20150301000000;UEB;148;10235;4.5;-2.5;13.2
392;20150401000000;UEB;222;13474;7.9;-2.3;17.5
392;20150501000000;UEB;214;9591;11.4;2.3;23.1
392;20150601000000;UEB;268;14199;15.7;7.8;25.7
392;20150701000000;UEB;286;17187;19.9;10.3;30.4
392;20150801000000;UEB;231;14744;18.7;9.9;29.9
392;20150901000000;UEB;156;8753;11.3;4.1;22.6
392;20151001000000;UEB;94;5501;7.8;0.5;17.0
392;20151101000000;UEB;80;8184;7.8;-4.2;18.3
392;20151201000000;UEB;69;9712;7.0;-2.6;13.4
392;20160101000000;UEB;47;3118;2.5;-8.1;12.3
392;20160201000000;UEB;67;3162;1.8;-3.1;11.7
392;20160301000000;UEB;124;6873;2.5;-4.3;17.1
