station;termin;nat_abbr;dkl010z0;fkl010z0;fkl010z1;fu3010z0;fu3010z1;fve010z0;gre000z0;oli000z0;pp0qffs0;pp0qnhs0;ppz700s0;ppz850s0;prestas0;pva200s0;rre150z0;sre000z0;tde200s0;tre005s0;tre200s0;ure200s0;wcc006s1
75;20230101000000;BAS;98;2.8;5.4;10.4;19.4;2.7;0;303;1022.7;1022.2;;;984.4;10.4;0.0;0;7.6;7.5;9.2;89.8;
75;20230101001000;BAS;99;2.4;4.1;8.6;14.8;2.3;0;302;1022.7;1022.2;;;984.4;10.4;0.0;0;7.5;7.3;9.0;90.5;
75;20230101002000;BAS;101;2.6;5.6;9.4;20.2;2.6;0;299;1022.7;1022.2;;;984.4;10.4;0.0;0;7.5;7.3;9.1;89.7;
75;20230101003000;BAS;102;3.1;5.4;11.2;19.4;3.0;0;292;1022.5;1022.0;;;984.2;10.4;0.0;0;7.5;7.2;9.1;89.7;
75;20230101004000;BAS;100;3.3;6.2;11.9;22.3;3.2;0;286;1022.4;1021.9;;;984.1;10.3;0.0;0;7.5;7.2;9.0;90.1;
75;20230101005000;BAS;103;3.4;6.1;12.2;22.0;3.3;0;284;1022.3;1021.8;;;984.0;10.2;0.0;0;7.3;7.1;9.0;89.1;
75;20230101010000;BAS;94;3.3;6.3;11.9;22.7;3.2;0;282;1022.2;1021.7;;;983.9;10.2;0.0;0;7.3;7.0;8.7;90.6;
75;20230101011000;BAS;102;3.4;6.1;12.2;22.0;3.3;0;282;1022.1;1021.6;;;983.8;10.2;0.0;0;7.3;6.9;8.8;90.1;
75;20230101012000;BAS;99;2.5;5.8;9.0;20.9;2.4;0;283;1022.2;1021.7;;;983.9;10.2;0.0;0;7.2;6.9;8.8;89.8;
75;20230101013000;BAS;104;2.5;4.9;9.0;17.6;2.4;0;286;1022.4;1021.8;;;984.0;10.0;0.0;0;7.0;6.8;8.6;89.9;
75;20230101014000;BAS;82;2.8;5.4;10.1;19.4;2.6;0;288;1022.3;1021.7;;;983.9;10.1;0.0;0;7.1;6.8;8.4;91.4;
