station;termin;nat_abbr;cc1000s0;ccl000s0;nto000s0;vho000s0;wat000s0
75;20220101054000;BAS;;;9;1;47
75;20220101115000;BAS;0;;6;86;3
75;20220101174000;BAS;0;;5;80;2
75;20220102055000;BAS;0;;3;62;10
75;20220102114000;BAS;6;;7;84;2
75;20220102174000;BAS;6;;5;70;1
75;20220103055000;BAS;7;;8;84;2
75;20220103114000;BAS;8;;8;84;2
75;20220103174000;BAS;6;;7;84;2
75;20220104055000;BAS;7;;8;80;21
75;20220104114000;BAS;6;;8;80;16
75;20220104174000;BAS;6;;7;58;15
75;20220105054000;BAS;6;;8;60;60
75;20220105114000;BAS;6;;2;83;2
75;20220105174000;BAS;6;;1;70;1
75;20220106055000;BAS;7;;8;58;71
75;20220106114000;BAS;6;;7;75;2
75;20220106174000;BAS;6;;7;70;3
75;20220107055000;BAS;3;;7;70;3
75;20220107115000;BAS;7;;8;62;78
75;20220107175000;BAS;7;;7;68;22
75;20220108055000;BAS;6;;2;70;1
75;20220108114000;BAS;6;;7;86;3
75;20220108174000;BAS;6;;8;81;2
75;20220109055000;BAS;6;;7;60;10
75;20220109114000;BAS;6;;7;80;25
75;20220109174000;BAS;6;;8;63;50
75;20220110055000;BAS;7;;8;65;2
75;20220110114000;BAS;8;;5;70;1
75;20220110174000;BAS;1;;2;75;3
75;20220111055000;BAS;;;9;0;45
75;20220111114000;BAS;;;9;2;49
75;20220111174000;BAS;7;;8;12;10
75;20220112055000;BAS;;;9;5;49
75;20220112114000;BAS;6;;1;84;2
75;20220112174000;BAS;;;0;70;2
75;20220113055000;BAS;;;0;57;10
75;20220113114000;BAS;;;0;62;5
75;20220113174000;BAS;0;;1;62;10
75;20220114054000;BAS;;;0;62;10
75;20220114114000;BAS;;;0;65;2
75;20220114174000;BAS;;;0;66;2
75;20220115055000;BAS;;;0;56;10
75;20220115114000;BAS;;;9;1;45
75;20220115174000;BAS;;;9;0;45
75;20220116055000;BAS;7;;2;30;40
75;20220116114000;BAS;8;;5;62;10
75;20220116174000;BAS;6;;6;65;3
75;20220117055000;BAS;6;;8;70;3
75;20220117114000;BAS;6;;7;82;1
75;20220117174000;BAS;6;;8;80;2
75;20220118055000;BAS;;;9;0;45
75;20220118115000;BAS;7;;7;3;42
75;20220118174000;BAS;7;;7;70;3
75;20220119054000;BAS;;;0;70;2
75;20220119114000;BAS;7;;7;56;5
75;20220119174000;BAS;6;;7;62;5
75;20220120055000;BAS;6;;8;59;68
75;20220120114000;BAS;6;;7;82;2
75;20220120174000;BAS;6;;8;58;85
75;20220121054000;BAS;3;;7;80;2
75;20220121115000;BAS;8;;4;80;2
75;20220121174000;BAS;7;;6;84;3
75;20220122054000;BAS;6;;8;75;2
75;20220122114000;BAS;6;;6;83;2
75;20220122174000;BAS;;;0;70;2
75;20220123054000;BAS;7;;8;25;10
75;20220123114000;BAS;6;;7;75;2
75;20220123174000;BAS;6;;5;72;1
75;20220124055000;BAS;7;;1;70;2
75;20220124114000;BAS;7;;1;63;5
75;20220124174000;BAS;;;0;62;10
75;20220125055000;BAS;;;0;56;10
75;20220125114000;BAS;;;0;56;5
75;20220125174000;BAS;;;0;57;5
75;20220126054000;BAS;;;9;3;45
75;20220126114000;BAS;7;;8;12;10
75;20220126174000;BAS;7;;8;30;10
75;20220127055000;BAS;7;;8;40;10
75;20220127114000;BAS;6;;7;57;10
75;20220127174000;BAS;7;;8;57;10
75;20220128054000;BAS;6;;7;75;2
75;20220128114000;BAS;6;;6;59;10
75;20220128174000;BAS;3;;6;66;3
75;20220129054000;BAS;7;;8;67;3
75;20220129114000;BAS;8;;7;80;3
75;20220129174000;BAS;7;;8;60;10
75;20220130054000;BAS;6;;7;65;3
75;20220130115000;BAS;8;;6;84;2
75;20220130175000;BAS;6;;7;84;2
75;20220131055000;BAS;6;;8;86;2
75;20220131114000;BAS;8;;7;86;15
75;20220131174000;BAS;6;;7;84;2
75;20220201055000;BAS;7;;8;84;2
75;20220201114000;BAS;7;;8;58;15
75;20220201174000;BAS;6;;8;62;21
75;20220202054000;BAS;6;;8;62;58
75;20220202114000;BAS;8;;8;82;2
75;20220202174000;BAS;6;;8;59;60
75;20220203054000;BAS;6;;8;80;2
75;20220203113000;BAS;6;;8;84;2
75;20220203174000;BAS;6;;8;60;10
75;20220204055000;BAS;7;;8;75;2
75;20220204114000;BAS;8;;8;82;2
75;20220204174000;BAS;6;;7;88;1
75;20220205055000;BAS;6;;4;80;1
75;20220205114000;BAS;8;;3;84;2
75;20220205174000;BAS;6;;1;80;2
75;20220206055000;BAS;6;;8;84;3
75;20220206114000;BAS;8;;8;82;2
75;20220206174000;BAS;6;;8;70;21
75;20220207055000;BAS;6;;2;84;1
75;20220207114000;BAS;8;;2;84;2
75;20220207174000;BAS;6;;1;88;2
75;20220208054000;BAS;6;;4;84;2
75;20220208114000;BAS;0;;1;88;2
75;20220208174000;BAS;6;;1;86;2
75;20220209060000;BAS;;;0;80;2
75;20220209115000;BAS;0;;1;84;2
75;20220209174000;BAS;;;0;86;2
75;20220210055000;BAS;0;;1;65;2
75;20220210114000;BAS;6;;3;80;3
75;20220210174000;BAS;8;;8;65;3
75;20220211055000;BAS;5;;8;35;61
75;20220211114000;BAS;8;;3;84;1
75;20220211175000;BAS;6;;1;86;1
