station;termin;nat_abbr;cc1000s0;ccl000s0;nto000s0;vho000s0;wat000s0
75;20230101055000;BAS;0;;6;75;2
75;20230101115000;BAS;3;;2;84;2
75;20230101174000;BAS;3;;6;82;2
75;20230102055000;BAS;6;;7;82;2
75;20230102114000;BAS;3;;5;80;1
75;20230102174000;BAS;7;;8;66;61
75;20230103055000;BAS;6;;8;81;2
75;20230103114000;BAS;8;;7;82;1
75;20230103174000;BAS;3;;1;80;2
75;20230104054000;BAS;6;;7;64;10
75;20230104114000;BAS;7;;8;81;2
75;20230104174000;BAS;8;;7;82;2
75;20230105055000;BAS;6;;7;65;2
75;20230105113000;BAS;7;;8;70;15
75;20230105173000;BAS;6;;5;72;1
75;20230106054000;BAS;7;;8;80;2
75;20230106114000;BAS;6;;7;82;25
75;20230106174000;BAS;6;;7;82;2
75;20230107055000;BAS;6;;8;63;10
75;20230107114000;BAS;6;;1;83;2
75;20230107180000;BAS;0;;6;82;3
75;20230108055000;BAS;5;;8;40;63
75;20230108114000;BAS;7;;8;60;10
75;20230108174000;BAS;6;;8;56;81
75;20230109055000;BAS;6;;5;81;1
75;20230109114000;BAS;8;;6;84;2
75;20230109174000;BAS;7;;8;81;25
75;20230110055000;BAS;6;;6;82;2
75;20230110120000;BAS;6;;6;82;2
75;20230110174000;BAS;7;;8;75;3
75;20230111054000;BAS;7;;8;67;2
75;20230111114000;BAS;6;;8;70;61
75;20230111174000;BAS;6;;7;58;80
75;20230112054000;BAS;3;;6;84;2
75;20230112115000;BAS;6;;8;84;2
75;20230112174000;BAS;6;;8;82;2
75;20230113055000;BAS;7;;8;80;2
75;20230113114000;BAS;8;;7;82;3
75;20230113175000;BAS;6;;7;82;3
75;20230114055000;BAS;6;;7;82;3
75;20230114115000;BAS;6;;7;82;2
75;20230114174000;BAS;6;;8;80;60
75;20230115055000;BAS;6;;8;80;2
75;20230115114000;BAS;7;;7;70;60
75;20230115174000;BAS;6;;1;82;1
75;20230116055000;BAS;4;;8;80;2
75;20230116114000;BAS;8;;7;86;1
75;20230116174000;BAS;6;;7;84;2
75;20230117055000;BAS;3;;7;82;2
75;20230117115000;BAS;7;;8;68;3
75;20230117174000;BAS;8;;8;56;50
75;20230118054000;BAS;7;;8;56;69
75;20230118114000;BAS;6;;8;59;10
75;20230118175000;BAS;7;;4;50;10
75;20230119055000;BAS;6;;6;57;10
75;20230119114000;BAS;8;;7;82;2
75;20230119174000;BAS;6;;8;75;2
75;20230120055000;BAS;6;;8;40;10
75;20230120115000;BAS;8;;6;70;1
75;20230120175000;BAS;6;;2;70;1
75;20230121055000;BAS;0;;6;40;10
75;20230121115000;BAS;6;;7;75;3
75;20230121174000;BAS;7;;8;40;10
75;20230122055000;BAS;7;;8;30;10
75;20230122114000;BAS;6;;8;56;10
75;20230122174000;BAS;7;;8;56;10
75;20230123054000;BAS;7;;8;56;10
75;20230123114000;BAS;7;;8;75;2
75;20230123174000;BAS;7;;8;65;2
75;20230124054000;BAS;7;;8;58;50
75;20230124115000;BAS;6;;8;62;10
75;20230124174000;BAS;6;;8;65;2
75;20230125054000;BAS;7;;8;30;50
75;20230125114000;BAS;6;;8;56;10
75;20230125174000;BAS;6;;8;40;10
75;20230126054000;BAS;7;;8;30;10
75;20230126114000;BAS;7;;8;56;10
75;20230126174000;BAS;7;;8;30;10
75;20230127054000;BAS;7;;8;30;10
75;20230127114000;BAS;7;;8;56;10
75;20230127175000;BAS;7;;7;58;10
75;20230128055000;BAS;7;;8;50;10
75;20230128114000;BAS;6;;8;62;10
75;20230128174000;BAS;7;;8;68;2
75;20230129055000;BAS;7;;8;58;10
75;20230129114000;BAS;6;;7;62;10
75;20230129174000;BAS;3;;3;80;2
75;20230130055000;BAS;7;;6;68;2
75;20230130114000;BAS;6;;7;80;2
75;20230130174000;BAS;7;;8;75;2
75;20230131055000;BAS;6;;4;58;10
75;20230131115000;BAS;6;;7;70;3
